Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 & TERMODINAMICA APL. A LA ING.DE PROCESOS,FISICA 3 & TEORIA DE LENGUAJES & INT. A LA INVESTIGACION DE OPERACIONES,
Día 2,,,
Día 3,MATEMATICA DISCRETA 1,GEOMETRIA Y ALGEBRA LINEAL 2 & PROGRAMACION 2 & SISTEMAS OPERATIVOS & MECANICA ESTRUCTURAL,TRANSFERENCIA DE CALOR 2
Día 4,REDES ELECTRICAS,SEÑALES Y SISTEMAS & ELEMENTOS DE MAQUINAS & PATOLOGIA DE LAS ESTRUCTURAS,"LOGICA & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & ELECTRONICA AVANZADA 2 & DISEÑO DE PROCESOS QUIMICOS"
Día 5,,,
Día 6,FISICA 1 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,MATEMATICA DISCRETA 2,FISICA 2 & ELEMENTOS DE MECANICA DE LOS FLUIDOS & TECNOLOGIA DEL HORMIGON
Día 7,GESTION DE CALIDAD & INSTRUMENTACION INDUSTRIAL & DINAMICA Y CONTROL DE PROCESOS,ELECTROTECNICA I & ANTENAS Y PROPAGACION,SUBESTACIONES EN MEDIA TENSION & ELECTROTECNICA
Día 8,PROBABILIDAD Y ESTADISTICA & HORMIGON ESTRUCTURAL 1 & INT. AL CONTROL INDUSTRIAL,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & MATERIALES Y ENSAYOS & COMPORTAMIENTO MECANICO DE MATERIALES 1 & TECNOLOGIA Y SERV. INDUSTRIALES 1,
Día 9,,,
Día 10,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,CALIDAD DE AGUAS,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES
Día 11,CALCULO VECTORIAL,MAQUINAS PARA FLUIDOS I,INT. A LA MECANICA DE SUELOS
Día 12,MEDIDAS ELECTRICAS & ADMINISTRACION DE OPERACIONES & REDES DE DATOS 2 & INGENIERIA BIOQUIMICA,INT. A LA INGENIERIA DE SOFTWARE & METALURGIA DE TRANSFORMACION & ELASTICIDAD & INGENIERIA DE LAS REACCIONES QUIMICAS 1,MECANICA NEWTONIANA & ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,ELECTRONICA DE POTENCIA,FUNCIONES DE VARIABLE COMPLEJA & ENERGIA 1- COMBUSTION & ESTRUCTURAS DE ACERO & TRANSFERENCIA DE CALOR Y MASA 1,PROGRAMACION 1 & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
