Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 & ENERGIA 1- COMBUSTION & TECNOLOGIA DEL HORMIGON,MATEMATICA DISCRETA 2 & PROGRAMACION 1 & SISTEMAS OPERATIVOS,
Día 2,,,
Día 3,PROGRAMACION 2,MATEMATICA DISCRETA 1 & TEORIA DE LENGUAJES,LOGICA & ELASTICIDAD
Día 4,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",GEOMETRIA Y ALGEBRA LINEAL 2 & TRANSFERENCIA DE CALOR 2,CALIDAD DE AGUAS & TECNOLOGIA Y SERV. INDUSTRIALES 1
Día 5,,,
Día 6,GESTION DE CALIDAD & INT. A LA MECANICA DE SUELOS & INT. AL CONTROL INDUSTRIAL & ELECTROTECNICA,SUBESTACIONES EN MEDIA TENSION & DINAMICA Y CONTROL DE PROCESOS,TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES
Día 7,ADMINISTRACION DE OPERACIONES & INSTRUMENTACION INDUSTRIAL,MECANICA NEWTONIANA & ANTENAS Y PROPAGACION,FISICA 1 & FISICA 2 & METALURGIA DE TRANSFORMACION
Día 8,FISICA 3 & INT. A LA INGENIERIA DE SOFTWARE & INGENIERIA DE LAS REACCIONES QUIMICAS 1,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & COMPORTAMIENTO MECANICO DE MATERIALES 1 & HORMIGON ESTRUCTURAL 1,
Día 9,,,
Día 10,ELEMENTOS DE MECANICA DE LOS FLUIDOS & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,ELEMENTOS DE MAQUINAS & REDES ELECTRICAS,PROBABILIDAD Y ESTADISTICA & DISEÑO DE PROCESOS QUIMICOS
Día 11,MATERIALES Y ENSAYOS & INT. A LA INVESTIGACION DE OPERACIONES,PATOLOGIA DE LAS ESTRUCTURAS,MAQUINAS PARA FLUIDOS I
Día 12,MEDIDAS ELECTRICAS & REDES DE DATOS 2 & INGENIERIA BIOQUIMICA,TERMODINAMICA APL. A LA ING.DE PROCESOS,CALCULO VECTORIAL & SEÑALES Y SISTEMAS & ADMINISTRACION GENERAL PARA INGENIEROS & ELECTROTECNICA I
Día 13,MECANICA ESTRUCTURAL & ELECTRONICA AVANZADA 2,ESTRUCTURAS DE ACERO & ELECTRONICA DE POTENCIA & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & TRANSFERENCIA DE CALOR Y MASA 1,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & FUNCIONES DE VARIABLE COMPLEJA & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES
