Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,SEÑALES Y SISTEMAS & PATOLOGIA DE LAS ESTRUCTURAS & INT. AL CONTROL INDUSTRIAL & DINAMICA Y CONTROL DE PROCESOS,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & FISICA 3 & DISEÑO DE PROCESOS QUIMICOS,
Día 2,,,
Día 3,FISICA 1 & FISICA 2 & REDES ELECTRICAS & INGENIERIA DE LAS REACCIONES QUIMICAS 1,CALCULO VECTORIAL & TEORIA DE LENGUAJES,SUBESTACIONES EN MEDIA TENSION
Día 4,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & FUNCIONES DE VARIABLE COMPLEJA & ADMINISTRACION GENERAL PARA INGENIEROS,ANTENAS Y PROPAGACION & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,PROBABILIDAD Y ESTADISTICA & ELECTROTECNICA I
Día 5,,,
Día 6,ELEMENTOS DE MAQUINAS,MECANICA NEWTONIANA & CALIDAD DE AGUAS & HORMIGON ESTRUCTURAL 1,ELEMENTOS DE MECANICA DE LOS FLUIDOS
Día 7,GESTION DE CALIDAD & TECNOLOGIA DEL HORMIGON,MEDIDAS ELECTRICAS,GEOMETRIA Y ALGEBRA LINEAL 2 & INT. A LA INVESTIGACION DE OPERACIONES
Día 8,GEOMETRIA Y ALGEBRA LINEAL 1 & MATERIALES Y ENSAYOS & ADMINISTRACION DE OPERACIONES,TRANSFERENCIA DE CALOR 2 & INT. A LA MECANICA DE SUELOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,
Día 9,,,
Día 10,ENERGIA 1- COMBUSTION & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,SISTEMAS OPERATIVOS,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS
Día 11,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & ELECTRONICA AVANZADA 2",METALURGIA DE TRANSFORMACION & MECANICA ESTRUCTURAL,MAQUINAS PARA FLUIDOS I & ELECTROTECNICA & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
Día 12,INSTRUMENTACION INDUSTRIAL & INGENIERIA BIOQUIMICA,PROGRAMACION 1 & INT. A LA INGENIERIA DE SOFTWARE & ELASTICIDAD,LOGICA & COMPORTAMIENTO MECANICO DE MATERIALES 1 & TERMODINAMICA APL. A LA ING.DE PROCESOS
Día 13,ELECTRONICA DE POTENCIA,PROGRAMACION 2 & PRINCIPIOS DE QUIMICA GENERAL & ESTRUCTURAS DE ACERO & TRANSFERENCIA DE CALOR Y MASA 1,MATEMATICA DISCRETA 1 & MATEMATICA DISCRETA 2 & INT. A LA CIENCIA DE MATERIALES & REDES DE DATOS 2
