Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,CALIDAD DE AGUAS & HORMIGON ESTRUCTURAL 1 & ELECTRONICA DE POTENCIA & DINAMICA Y CONTROL DE PROCESOS,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & TRANSFERENCIA DE CALOR 2 & GESTION DE CALIDAD & PATOLOGIA DE LAS ESTRUCTURAS,
Día 2,,,
Día 3,SEÑALES Y SISTEMAS & ADMINISTRACION DE OPERACIONES & MECANICA ESTRUCTURAL & ELECTRONICA AVANZADA 2,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & ELEMENTOS DE MAQUINAS,PRINCIPIOS DE QUIMICA GENERAL & SUBESTACIONES EN MEDIA TENSION
Día 4,PROGRAMACION 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,GEOMETRIA Y ALGEBRA LINEAL 2 & COMPORTAMIENTO MECANICO DE MATERIALES 1
Día 5,,,
Día 6,MAQUINAS PARA FLUIDOS I & INSTRUMENTACION INDUSTRIAL & INGENIERIA BIOQUIMICA,PROBABILIDAD Y ESTADISTICA,PROGRAMACION 1 & ELASTICIDAD & ELECTROTECNICA
Día 7,INT. A LA INGENIERIA DE SOFTWARE & INGENIERIA DE LAS REACCIONES QUIMICAS 1,ELEMENTOS DE MECANICA DE LOS FLUIDOS & ANTENAS Y PROPAGACION,MECANICA NEWTONIANA & ADMINISTRACION GENERAL PARA INGENIEROS
Día 8,FISICA 2 & TEORIA DE LENGUAJES,GEOMETRIA Y ALGEBRA LINEAL 1 & INT. A LA MECANICA DE SUELOS,
Día 9,,,
Día 10,CALCULO VECTORIAL,"METALURGIA DE TRANSFORMACION & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",LOGICA & REDES ELECTRICAS
Día 11,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,ESTRUCTURAS DE ACERO,ENERGIA 1- COMBUSTION & REDES DE DATOS 2 & TECNOLOGIA Y SERV. INDUSTRIALES 1
Día 12,MEDIDAS ELECTRICAS & INT. A LA INVESTIGACION DE OPERACIONES & TECNOLOGIA DEL HORMIGON & INT. AL CONTROL INDUSTRIAL,SISTEMAS OPERATIVOS & ELECTROTECNICA I,FISICA 3 & MATERIALES Y ENSAYOS
Día 13,TRANSFERENCIA DE CALOR Y MASA 1,FUNCIONES DE VARIABLE COMPLEJA & FISICA 1 & DISEÑO DE PROCESOS QUIMICOS & TERMODINAMICA APL. A LA ING.DE PROCESOS,MATEMATICA DISCRETA 1 & MATEMATICA DISCRETA 2 & INT. A LA CIENCIA DE MATERIALES
