Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MECANICA NEWTONIANA & GESTION DE CALIDAD,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & INGENIERIA DE LAS REACCIONES QUIMICAS 1,
Día 2,,,
Día 3,INT. A LA MECANICA DE SUELOS,MAQUINAS PARA FLUIDOS I,PRINCIPIOS DE QUIMICA GENERAL
Día 4,FISICA 3,ADMINISTRACION GENERAL PARA INGENIEROS,INSTRUMENTACION INDUSTRIAL
Día 5,,,
Día 6,ELEMENTOS DE MECANICA DE LOS FLUIDOS,INT. AL CONTROL INDUSTRIAL,PROGRAMACION 2
Día 7,LOGICA & COMPORTAMIENTO MECANICO DE MATERIALES 1 & TRANSFERENCIA DE CALOR 2 & TERMODINAMICA APL. A LA ING.DE PROCESOS,MATEMATICA DISCRETA 1 & TEORIA DE LENGUAJES & INT. A LA INGENIERIA DE SOFTWARE,FISICA 1 & FISICA 2 & ELECTROTECNICA & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 8,GEOMETRIA Y ALGEBRA LINEAL 1 & DISEÑO DE PROCESOS QUIMICOS & INGENIERIA BIOQUIMICA,MATEMATICA DISCRETA 2 & PROGRAMACION 1 & MEDIDAS ELECTRICAS & ELASTICIDAD,
Día 9,,,
Día 10,CALIDAD DE AGUAS & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,SEÑALES Y SISTEMAS,GEOMETRIA Y ALGEBRA LINEAL 2 & INT. A LA INVESTIGACION DE OPERACIONES & ENERGIA 1- COMBUSTION
Día 11,REDES DE DATOS 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & TECNOLOGIA Y SERV. INDUSTRIALES 1,TRANSFERENCIA DE CALOR Y MASA 1,"CALCULO VECTORIAL & MATERIALES Y ENSAYOS & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
Día 12,PROBABILIDAD Y ESTADISTICA & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & SISTEMAS OPERATIVOS & DINAMICA Y CONTROL DE PROCESOS,MECANICA ESTRUCTURAL & HORMIGON ESTRUCTURAL 1 & ESTRUCTURAS DE ACERO,FUNCIONES DE VARIABLE COMPLEJA & ELECTROTECNICA I
Día 13,METALURGIA DE TRANSFORMACION & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & SUBESTACIONES EN MEDIA TENSION & ELECTRONICA AVANZADA 2,ELEMENTOS DE MAQUINAS & ADMINISTRACION DE OPERACIONES & REDES ELECTRICAS & ELECTRONICA DE POTENCIA,INT. A LA CIENCIA DE MATERIALES & TECNOLOGIA DEL HORMIGON & PATOLOGIA DE LAS ESTRUCTURAS & ANTENAS Y PROPAGACION
