Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 1 & MATEMATICA DISCRETA 2 & TEORIA DE LENGUAJES & REDES DE DATOS 2,GEOMETRIA Y ALGEBRA LINEAL 1 & ESTRUCTURAS DE ACERO & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & INGENIERIA DE LAS REACCIONES QUIMICAS 1,
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 & ELEMENTOS DE MECANICA DE LOS FLUIDOS & ELECTRONICA AVANZADA 2,PROGRAMACION 2 & SISTEMAS OPERATIVOS,"REDES ELECTRICAS & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
Día 4,COMPORTAMIENTO MECANICO DE MATERIALES 1,SUBESTACIONES EN MEDIA TENSION,PROGRAMACION 1 & PRINCIPIOS DE QUIMICA GENERAL & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
Día 5,,,
Día 6,ELEMENTOS DE MAQUINAS & INT. A LA MECANICA DE SUELOS & PATOLOGIA DE LAS ESTRUCTURAS & INT. AL CONTROL INDUSTRIAL,TECNOLOGIA Y SERV. INDUSTRIALES 1,CALCULO VECTORIAL & INGENIERIA BIOQUIMICA
Día 7,MAQUINAS PARA FLUIDOS I & HORMIGON ESTRUCTURAL 1,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & FUNCIONES DE VARIABLE COMPLEJA,LOGICA
Día 8,INT. A LA CIENCIA DE MATERIALES & TECNOLOGIA DEL HORMIGON,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & TRANSFERENCIA DE CALOR 2 & ELECTROTECNICA & TRANSFERENCIA DE CALOR Y MASA 1,
Día 9,,,
Día 10,PROBABILIDAD Y ESTADISTICA & DISEÑO DE PROCESOS QUIMICOS,CALIDAD DE AGUAS,ELECTRONICA DE POTENCIA & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 11,ENERGIA 1- COMBUSTION & ELECTROTECNICA I,FISICA 1 & FISICA 3,INT. A LA INVESTIGACION DE OPERACIONES
Día 12,FISICA 2 & GESTION DE CALIDAD & DINAMICA Y CONTROL DE PROCESOS,MEDIDAS ELECTRICAS & INT. A LA INGENIERIA DE SOFTWARE & ELASTICIDAD,MECANICA NEWTONIANA & ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,SEÑALES Y SISTEMAS & ADMINISTRACION DE OPERACIONES & MECANICA ESTRUCTURAL & INSTRUMENTACION INDUSTRIAL,MATERIALES Y ENSAYOS & METALURGIA DE TRANSFORMACION & ANTENAS Y PROPAGACION & TERMODINAMICA APL. A LA ING.DE PROCESOS
