Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1 & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & INSTRUMENTACION INDUSTRIAL & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",MATEMATICA DISCRETA 1 & MATEMATICA DISCRETA 2 & TEORIA DE LENGUAJES & HORMIGON ESTRUCTURAL 1,
Día 2,,,
Día 3,PROGRAMACION 1 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,LOGICA,SISTEMAS OPERATIVOS
Día 4,PROGRAMACION 2 & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,PATOLOGIA DE LAS ESTRUCTURAS & SUBESTACIONES EN MEDIA TENSION,GEOMETRIA Y ALGEBRA LINEAL 2
Día 5,,,
Día 6,TECNOLOGIA DEL HORMIGON & ANTENAS Y PROPAGACION,REDES ELECTRICAS & INGENIERIA BIOQUIMICA,FISICA 1 & TRANSFERENCIA DE CALOR 2
Día 7,FISICA 2 & MEDIDAS ELECTRICAS & ADMINISTRACION DE OPERACIONES & INGENIERIA DE LAS REACCIONES QUIMICAS 1,COMPORTAMIENTO MECANICO DE MATERIALES 1 & MAQUINAS PARA FLUIDOS I,CALCULO VECTORIAL & MATERIALES Y ENSAYOS
Día 8,ELEMENTOS DE MECANICA DE LOS FLUIDOS & ADMINISTRACION GENERAL PARA INGENIEROS & TECNOLOGIA Y SERV. INDUSTRIALES 1,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & FISICA 3 & DISEÑO DE PROCESOS QUIMICOS,
Día 9,,,
Día 10,CALIDAD DE AGUAS,INT. A LA INVESTIGACION DE OPERACIONES,PROBABILIDAD Y ESTADISTICA & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & ELECTRONICA AVANZADA 2
Día 11,ELEMENTOS DE MAQUINAS,INT. AL CONTROL INDUSTRIAL,MECANICA ESTRUCTURAL
Día 12,GESTION DE CALIDAD & ELECTROTECNICA & REDES DE DATOS 2 & DINAMICA Y CONTROL DE PROCESOS,INT. A LA INGENIERIA DE SOFTWARE & ENERGIA 1- COMBUSTION & ELASTICIDAD & TERMODINAMICA APL. A LA ING.DE PROCESOS,MECANICA NEWTONIANA & SEÑALES Y SISTEMAS & ELECTROTECNICA I
Día 13,ELECTRONICA DE POTENCIA,FUNCIONES DE VARIABLE COMPLEJA & INT. A LA MECANICA DE SUELOS & ESTRUCTURAS DE ACERO & TRANSFERENCIA DE CALOR Y MASA 1,PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
