Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,Programación 2 (1321) & Física 3 (1153),Programación 1 (1373) & Int. a la Ingeniería Bioquímica (Q77C),
Día 3,Comportamiento Mecánico de Materiales 2 (1765) & Física 2 (1152) & Matemática Discreta 2 (1026) & Sistemas y Control (5905) & Fluidodinámica (Q66),Geología de Ingeniería (2206) & Física 1 (1151),Costos para Ingeniería (1922) & Matemática 1 (TEC) (TIM20) & Matemática 2 (TEC) (TIM21) & Int. a la Electrotecnia (TEC) (TIM70) & Motores de Comb. Int. y Turbinas de Gas (TEC) (TIM43)
Día 4,Programación 3 (1323) & Vibraciones y Ondas (1144),Matemática Discreta 1 (1023) & Resistencia de Materiales 1 (2368),Generadores de Vapor (1815) & Dinámica y Control de Procesos (Q94) & Ingeniería Clínica (5718) & Int. a la Mecánica de los Fluidos (TEC) (TIM40)
Día 5,Geometría y Álgebra Lineal 1 (1030),Teoría de Circuitos (1456),Subestaciones en Media Tensión (5514) & Electrotécnica II (2109) & Ingeniería Biomédica (5710) & Control de Calidad (1510) & Gestión de Mantenimiento TEC (TIM62) & Generadores de Vapor (TEC) (TIM44) & Costos para Ingeniería (TEC) (TIM60)
Día 6,Computación 1 (1411) & Señales Aleatorias y Modulación (1460),Geometría y Álgebra Lineal 2 (1031),Redes de Computadoras (1446) & Diseño de Sistemas Médicos Implantables Activos (5714) & Diseño de Redes de Cond. En Ing. Sanitaria (1852) & Sistemas Oleohidráulicos y Neumáticos (2200) & Ingeniería de las Reacciones Químicas 2 (Q70) & Int. a la Ingeniería de Procesos (Q59B) & Tecnología de Servicios Audiovisuales (5851) & Seguridad Industrial (TEC) (TIM65)
Día 7,Cálculo Dif. e Int. en Una Variable (1061),Matemática Inicial (MI2) & Higiene y Serv. De Plantas Proc. de Alimentos (A65) & Transferencia de Calor 1 (1823),Redes de Datos 1 (5824) & Refrigeración (1638) & Metalurgia de Física (TEC) (TIM51) & Proyecto de Inversión (TEC) (TIM64) & Elementos de Máquinas (TEC) (TIM53)
Día 8,Probabilidad y Estadística (1025) & Fund. de Aprendizaje Automático y Rec. De Patrones (5852),Cálculo Dif. e Int. en Varias Variables (1062) & Int. al Transporte (2510) & Física Térmica (1123) & Tecnologías y Servicios Industriales 2 (Q100),
Día 10,Dinámica de Máquinas y Vibraciones (1718) & Mecánica Newtoniana (1122),Mecánica de los Fluidos (1226) & Fundamentos de Bases de Datos (1911),Met. Comput. Aplic. Al Cálculo Estructural (2380) & Transferencia de Calor y Masa 1 (Q74) & Máquinas Eléctricas (5602) & Refrigeración Industrial (TEC) (TIM45) & Inglés Técnico (TEC) (TIM81) & Int. a la Termodinámica (TEC) (TIM32)
Día 11,Cálculo Vectorial (1063) & Mecánica Aplicada (Q73) & Métodos Numéricos (1033),Metalurgia Física (1719) & Resistencia de Materiales 2 (1312) & Electromagnetismo (1128),Introducción a la Ciencia de los Materiales (TEC) (TIM50) & Instalaciones Eléctricas (5507) & Tiempos y Métodos (2038) & Física 1 (TEC) (TIM30) & Estudio del Trabajo (TEC) (TIM63)
Día 15,Int. a las Ecuaciones Diferenciales (1064) & Int. a la Ingeniería Sanitaria (2315),Arquitectura de Computadoras (1443),
