"mat1","cod1","mat2","cod2","nom_periodo","cantidad"
"ADMINISTRACION DE OPERACIONES","1915","CALCULO VECTORIAL","1063","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","CALCULO VECTORIAL","1063","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202001","4"
"ADMINISTRACION DE OPERACIONES","1915","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202201","9"
"ADMINISTRACION DE OPERACIONES","1915","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202301","4"
"ADMINISTRACION DE OPERACIONES","1915","COMPORTAMIENTO MECANICO DE MATERIALES 1","1764","202401","4"
"ADMINISTRACION DE OPERACIONES","1915","ELECTROTECNICA I","2108","202001","6"
"ADMINISTRACION DE OPERACIONES","1915","ELECTROTECNICA I","2108","202101","18"
"ADMINISTRACION DE OPERACIONES","1915","ELECTROTECNICA I","2108","202201","12"
"ADMINISTRACION DE OPERACIONES","1915","ELECTROTECNICA I","2108","202301","15"
"ADMINISTRACION DE OPERACIONES","1915","ELECTROTECNICA I","2108","202401","17"
"ADMINISTRACION DE OPERACIONES","1915","ELEMENTOS DE GESTION LOGISTICA","2244","202001","15"
"ADMINISTRACION DE OPERACIONES","1915","ELEMENTOS DE GESTION LOGISTICA","2244","202101","21"
"ADMINISTRACION DE OPERACIONES","1915","ELEMENTOS DE GESTION LOGISTICA","2244","202201","19"
"ADMINISTRACION DE OPERACIONES","1915","ELEMENTOS DE GESTION LOGISTICA","2244","202301","25"
"ADMINISTRACION DE OPERACIONES","1915","ELEMENTOS DE GESTION LOGISTICA","2244","202401","28"
"ADMINISTRACION DE OPERACIONES","1915","ELEMENTOS DE MECANICA DE LOS FLUIDOS","1805","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS","2394","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","Q22","202001","11"
"ADMINISTRACION DE OPERACIONES","1915","FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","Q22","202101","13"
"ADMINISTRACION DE OPERACIONES","1915","FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","Q22","202201","8"
"ADMINISTRACION DE OPERACIONES","1915","FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","Q22","202301","23"
"ADMINISTRACION DE OPERACIONES","1915","FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","Q22","202401","18"
"ADMINISTRACION DE OPERACIONES","1915","FISICA 2","1152","202101","2"
"ADMINISTRACION DE OPERACIONES","1915","FISICA 2","1152","202301","1"
"ADMINISTRACION DE OPERACIONES","1915","FISICA 3","1153","202001","1"
"ADMINISTRACION DE OPERACIONES","1915","FISICA 3","1153","202101","1"
"ADMINISTRACION DE OPERACIONES","1915","FISICA 3","1153","202201","2"
"ADMINISTRACION DE OPERACIONES","1915","FISICA 3","1153","202301","4"
