Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,Comportamiento Mecánico de Materiales 2 (1765) & Int. a la Ingeniería Bioquímica (Q77C),Geometría y Álgebra Lineal 2 (1031),Int. a las Ecuaciones Diferenciales (1064) & Ingeniería Biomédica (5710) & Int. a la Mecánica de los Fluidos (TEC) (TIM40) & Refrigeración Industrial (TEC) (TIM45)
Día 2,Geometría y Álgebra Lineal 1 (1030) & Redes de Computadoras (1446),Probabilidad y Estadística (1025) & Señales Aleatorias y Modulación (1460) & Costos para Ingeniería (1922),
Día 4,,Física 1 (1151) & Int. al Procesamiento de Lenguaje Natural (1828) & Int. a la Ingeniería Sanitaria (2315) & Diseño de Redes de Cond. En Ing. Sanitaria (1852),Redes de Datos 1 (5824) & Metalurgia Física (1719) & Ingeniería de las Reacciones Químicas 2 (Q70) & Control de Calidad (1510) & Introducción a la Ciencia de los Materiales (TEC) (TIM50) & Metalurgia de Física (TEC) (TIM51) & Estudio del Trabajo (TEC) (TIM63) & Generadores de Vapor (TEC) (TIM44)
Día 5,Física 2 (1152) & Arquitectura de Computadoras (1443),Matemática Discreta 1 (1023) & Máquinas para Fluidos 2 (1859) & Fluidodinámica (Q66),Diseño Lógico (1512) & Máquinas Eléctricas (5602) & Ingeniería Clínica (5718) & Int. a la Ingeniería de Procesos (Q59B) & Int. a la Electrotecnia (TEC) (TIM70)
Día 6,Física Térmica (1123) & Electrónica Avanzada 1 (5716),Resistencia de Materiales 1 (2368) & Higiene y Serv. De Plantas Proc. de Alimentos (A65) & Dinámica y Control de Procesos (Q94),Ingles Técnico (TEC) (TIM81) & Teoría de Restricciones (1927) & Fundamentos de Bases de Datos (1911) & Física 1 (TEC) (TIM30) & Elementos de Máquinas (TEC) (TIM53)
Día 7,Métodos Numéricos (1033),Cálculo Dif. e Int. en Una Variable (1061) & Electromagnetismo (1128),Instalaciones Eléctricas (5507) & Resistencia de Materiales 2 (1312) & Electrotécnica II (2109) & Mecánica Aplicada (Q73) & Seguridad Industrial (TEC) (TIM65) & Proyecto de Inversión (TEC) (TIM64)
Día 8,Int. al Transporte (2510) & Cálculo Dif. e Int. en Varias Variables (1062) & Fund. de Aprendizaje Automático y Rec. De Patrones (5852),Computación 1 (1411) & Dinámica de Máquinas y Vibraciones (1718) & Generadores de Vapor (1815) & Programación Funcional (1354),Costos para Ingeniería (TEC) (TIM60)
Día 9,Matemática Inicial (MI2) & Cálculo Vectorial (1063) & Transferencia de Calor 1 (1823),Programación 3 (1323),
Día 11,Física 3 (1153) & Teoría de Circuitos (1456),Matemática Discreta 2 (1026) & Geología de Ingeniería (2206),Sistemas Oleohidráulicos y Neumáticos (2200) & Subestaciones en Media Tensión (5514) & Tiempos y Métodos (2038) & Int. a la Termodinámica (TEC) (TIM32) & Motores de Comb. Int. y Turbinas de Gas (TEC) (TIM43) & Tecnologías y Servicios Industriales 2 (Q100)
Día 12,Programación 1 (1373) & Met. Comput. Aplic. Al Cálculo Estructural (2380),Mecánica Newtoniana (1122) & Vibraciones y Ondas (1144) & Mecánica de los Fluidos (1226),Programación 2 (1321) & Refrigeración (1638) & Transferencia de Calor y Masa 1 (Q74) & Sistemas y Control (5905) & Matemática 1 (TEC) (TIM20) & Matemática 2 (TEC) (TIM21) & Gestión de Mantenimiento TEC (TIM62)
Día 13,Diseño de Sistemas Médicos Implantables Activos (5714),,
