alpha,coherencia_curricular,coincidencia_promedio,capacidad_utilizada,estudiantes_afectados,coherencia_previas
1.0,3.1967066850884907,2.7867359917811534,0.22949038461538462,2292.9166666666665,3.2414916112965573
0.75,3.3859988082744277,3.0888821536765234,0.23057371794871795,1527.983333333334,3.885262871326587
0.0,3.0445704582362523,3.6265674013736793,0.22849999999999998,1527.0166666666669,4.832101832157561
0.25,3.65481271132483,3.815497307695371,0.22794871794871796,1139.2166666666662,5.260079099276006
0.5,3.2673623034956787,3.575611154574562,0.2317147435897436,1101.5166666666664,3.354732416269271
