unidad_curricular
GAL1
gal2
CDIV
CDIVV
calculoVec
fisica1
fisica2
fisica3
pye
AGPI
FENOMENOS
Tecn y Serv Industriales 1
Ing. reacciones químicas  1
Ingeniería Bioquímica
Electrotécnica 1
Dinámica y Control de Procesos
Tratamiento biológico de Efluentes
Termodinámica aplicada
Transferencia de calor y masa 2
Instrumentación Industrial
Diseño de procesos químicos
Gestión de Calidad
Mecánica Newtoniana
Principios de Química General
Electrotécnica
Señales y Sistemas
Antenas y Propagación
Imágenes médicas
Redes de datos 2
Electrónica de potencia
Subestaciones de Media Tensión
Intro. Invest. De Operaciones
Medidas eléctricas
Redes eléctricas
Electrónica Avanzada 2
Tecnologías de redes y servicios de telecomunicaciones
Funciones de Variable Compleja
Teoría de Lenguajes
Logica
Matemática Discreta 1
Matemática Discreta 2
Programación 1
Programación 2
Sistemas Operativos
Materiales y ensayos
Calidad de aguas
Hormigón 1
Elasticidad
Tecnología del Hormigón
Estructuras de Acero
Mecánica Estructural
Intro. A la Mecánica de Suelos
Patologia de las estructuras
Elementos de Mecánica de los fluidos
Comp Mec de Materiales 1
Intro al control Industrial
Energía 1
Energía 2
Transferencia de calor 2
Elementos de máquinas
Intro a la ciencia de materiales
Metalurgia de transformación
Instrumentación Industrial
Máquinas para fluidos 1
Gestión de Calidad
Administración de Operaciones
Intro. A la Ing Industrial
Intro a la Ing. de Software
