Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,COMPUTACION 1 (1411) & TRANSFERENCIA DE CALOR 1 (1823) & INT. A LA INGENIERIA SANITARIA (2315) & DISEÑO DE SISTEMAS MEDICOS IMPLANTABLES ACTIVOS (5714) & SISTEMAS Y CONTROL (5905) & HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS (A65),FISICA 1 (1151) & DISEÑO LOGICO (1512) & GENERADORES DE VAPOR (1815) & INT. AL TRANSPORTE (2510) & FISICA 1 (TIM30) & INT. A LA MECANICA DE LOS FLUIDOS (TIM40),RESISTENCIA DE MATERIALES 2 (1312) & REFRIGERACION (1638) & DISEÑO DE REDES DE COND.EN ING.SANITARIA (1852) & COSTOS PARA INGENIERIA (1922) & ESTUDIO DEL TRABAJO (TIM63) & INGLES TECNICO (TIM81)
Día 2,PROGRAMACION 2 (1321) & TEORIA DE CIRCUITOS (1456) & FLUIDODINAMICA (Q66) & DINAMICA Y CONTROL DE PROCESOS (Q94) & INT. A LA ELECTROTECNIA (TIM70),CALCULO VECTORIAL (1063) & SUBESTACIONES EN MEDIA TENSION (5514) & INT. A LA CIENCIA DE LOS MATERIALES (TIM50) & ELEMENTOS DE MAQUINAS (TIM53),
Día 3,,,
Día 4,,SEÑALES ALEATORIAS Y MODULACION (1460) & ELECTROTECNICA II (2109) & MAQUINAS ELECTRICAS (5602) & INGENIERIA BIOMEDICA (5710) & METALURGIA FISICA (TIM51),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & TECNOLOGIA Y SERV. INDUSTRIALES 2 (Q100)
Día 5,GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & MATEMATICA 2 (TIM21),TIEMPOS Y METODOS (2038) & INT. A LA TERMODINAMICA (TIM32),MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL (2380)
Día 6,INT. A LAS ECUACIONES DIFERENCIALES (1064),,PROBABILIDAD Y ESTADISTICA (1025) & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062)
Día 7,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & MATEMATICA INICIAL (MI2),GENERADORES DE VAPOR (TIM44),CONTROL DE CALIDAD (1510) & MATEMATICA 1 (TIM20)
Día 8,REDES DE DATOS 1 (5824) & INT. A LA INGENIERIA BIOQUIMICA (Q77C),MOTORES DE COMB. INT. Y TURBINAS DE GAS (TIM43),
Día 9,COMPORTAMIENTO MECANICO DE MATERIALES 2 (1765) & INT. AL PROCESAMIENTO DE LENG. NATURAL (1828) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),FISICA 3 (1153) & PROGRAMACION 1 (1373) & ARQUITECTURA DE COMPUTADORAS (1443) & REDES DE COMPUTADORAS (1446),
Día 10,,,
Día 11,VIBRACIONES Y ONDAS (1144) & INSTALACIONES ELECTRICAS (5507) & ELECTRONICA AVANZADA 1 (5716),PROGRAMACION 3 (1323) & INT. A LA INGENIERIA DE PROCESOS (Q59B) & GESTION DEL MANTENIMIENTO (TIM62),FISICA TERMICA (1123) & REFRIGERACION INDUSTRIAL (TIM45)
Día 12,MATEMATICA DISCRETA 1 (1023) & ELECTROMAGNETISMO (1128) & PROGRAMACION FUNCIONAL (1354) & DINAMICA DE MAQUINAS Y VIBRACION (1718) & RESISTENCIA DE MATERIALES 1 (2368),MAQUINAS PARA FLUIDOS II (1859) & TEORIA DE RESTRICCIONES (1927) & GEOLOGIA DE INGENIERIA (2206) & INGENIERIA CLINICA (5718) & INGENIERIA DE LAS REACCIONES QUIMICAS 2 (Q70) & SEGURIDAD INDUSTRIAL (TIM65),METODOS NUMERICOS (1033) & MECANICA DE LOS FLUIDOS (1226) & METALURGIA FISICA (1719) & SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS (2200) & COSTOS PARA INGENIERIA (TIM60) & PROYECTO DE INVERSION (TIM64)
Día 13,MATEMATICA DISCRETA 2 (1026) & MECANICA NEWTONIANA (1122) & FISICA 2 (1152) & FUNDAMENTOS DE BASES DE DATOS (1911) & FUNDAMENTOS DE APRENDIZAJE AUTOMATICO Y RECONOCIMIENTO DE PATRONES (5852) & MECANICA APLICADA (ING.QUÍM) (Q73),,
