Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,gal1,"fE1, gal2",
Día 2,f3,p2,p1
Día 3,pye,cDiv,-
Día 4,-,-,-
Día 5,disLog,,
Día 6,md1,md2,
Día 7,"f1, logica",,-
Día 8,-,-,-
Día 9,cDivv,tallerine,cV
