unidad_curricular,semestre,carrera
cDiv,1,comp
cDiv,1,sisCom
cDivv,2,comp
cDivv,2,sisCom
gal1,1,sisCom
gal1,2,comp
gal2,2,sisCom
gal2,3,comp
md1,1,comp
md1,3,sisCom
md2,3,comp
pye,3,comp
pye,3,sisCom
p1,1,comp
p1,2,sisCom
f1,2,comp
f1,1,sisCom
p2,2,comp
logica,3,comp
tallerine,1,sisCom
disLog,2,sisCom
f3,3,sisCom
fE1,3,sisCom
cV,3,sisCom
