uc_1,uc_2,coincidencia
1033,1945,23.75
1033,1947,3.0
1033,1951,2.0
1033,1952,1.0
1033,2001,2.75
1033,2002,1.0
1033,2011,4.5
1033,2013,2.6666666666666665
1033,2018,3.5
1033,2020,1.0
1033,2021,4.0
1033,2022,1.0
1033,2030,1.0
1033,2032,1.0
1033,2033,13.0
1033,2035,10.75
1033,2037,14.25
1033,2038,8.75
1033,2060,2.0
1033,2061,1.0
1033,2098,2.3333333333333335
1033,2200,2.0
1033,2210,2.0
1033,2211,1.0
1033,2216,1.5
1033,2217,1.5
1033,2246,1.0
1033,2352,1.0
1033,2368,1.0
1033,2391,5.0
1033,2450,1.0
1033,2907,1.0
1033,5511,1.3333333333333333
1033,5520,1.5
1033,5604,2.0
1033,5821,1.0
1033,5824,15.25
1033,5828,1.0
1033,5836,1.0
1033,5847,1.0
1033,5851,1.0
1033,5905,23.75
1033,LIB10,1.3333333333333333
1033,LIB55,1.0
1033,PA595,1.0
1033,PC342,1.0
1033,Q74,1.0
1033,TI08,1.0
1033,TI20,1.0
1033,TTR13,1.5
1061,1023,206.0
1061,1026,22.25
1061,1030,547.75
1061,1031,142.25
1061,1062,1.0
1061,1123,1.0
1061,1151,331.25
1061,1209,1.0
1061,1220,36.0
1061,1224,72.75
1061,1225,1.3333333333333333
1061,1266,45.0
1061,1269,8.0
1061,1321,25.5
1061,1322,229.0
1061,1323,2.0
1061,1373,395.0
1061,1411,3.6666666666666665
1061,1512,6.75
1061,1715,2.0
1061,1858,2.0
1061,1951,1.0
1061,2030,1.0
1061,2040,1.5
1061,2216,1.5
1061,2217,2.0
1061,2232,1.0
1061,2247,1.0
1061,2388,1.0
1061,2413,1.0
1061,2416,7.333333333333333
1061,5824,1.0
1061,5904,5.5
1061,GAL1P,39.0
1061,MI2,1.5
1061,PC201,1.0
1061,PC233,1.0
1061,Q102,23.5
1061,Q49,9.5
1061,Q59,1.0
1061,TIM10,1.0
1061,TIM11,1.0
1061,TIM12,1.0
1061,TIM13,1.0
1061,TIM14,1.0
1061,TIM30,1.0
1061,TIM50,1.0
1062,1023,232.75
1062,1025,1.0
1062,1026,144.25
1062,1030,124.75
1062,1031,602.0
1062,1033,1.0
1062,1063,2.0
1062,1122,7.5
1062,1123,8.0
1062,1128,1.0
1062,1151,195.0
1062,1152,221.5
1062,1153,55.75
1062,1155,2.0
1062,1209,1.0
1062,1220,63.5
1062,1224,154.25
1062,1224A,1.0
1062,1225,4.75
1062,1266,48.0
1062,1268,1.0
1062,1269,18.0
1062,1321,55.0
1062,1322,439.5
1062,1323,21.5
1062,1327,4.0
1062,1340,4.0
1062,1347,1.0
1062,1350,1.0
1062,1373,444.5
1062,1411,3.6666666666666665
1062,1446,1.75
1062,1509,1.0
1062,1510,3.5
1062,1512,19.75
1062,1521,1.0
1062,1524,1.0
1062,1537,2.5
1062,1543,1.5
1062,1643,2.0
1062,1715,2.0
1062,1721,1.5
1062,1731,1.0
1062,1742,1.0
1062,1780,1.0
1062,1858,2.5
1062,1911,2.0
1062,1922,1.0
1062,1933,1.0
1062,1938,1.5
1062,1941,1.0
1062,1945,2.0
1062,1948,1.0
1062,1951,3.0
1062,2001,1.0
1062,2018,3.0
1062,2030,1.0
1062,2040,1.0
1062,2216,2.0
1062,2217,3.0
1062,2232,1.0
1062,2256,1.0
1062,2388,1.5
1062,2416,40.333333333333336
1062,5507,1.0
1062,5824,1.3333333333333333
1062,5857,9.333333333333334
1062,5862,7.0
1062,5904,4.333333333333333
1062,GAL1P,11.0
1062,LIB10,1.0
1062,PA318,1.0
1062,PA685,1.0
1062,PA690,1.0
1062,PC04,1.0
1062,PC124,1.0
1062,PC149,1.0
1062,PE51,1.0
