"codenservicio_mat","nombre_mat","fecha_inicio","cantidad"
"LIB38","FISIOLOGÍA CUANTITATIVA","2021-03-01","3"
"LIB49","TALLER DE INGENIERÍA BIOLÓGICA I","2021-03-01","15"
"LIB55","TEORIA DE LOS CIRCUITOS","2021-03-01","4"
"MI2","MATEMATICA INICIAL","2021-03-01","375"
"PA226","CONFIABILIDAD DE SISTEMAS ELECTRICOS DE POTENCIA","2021-03-01","7"
"PA288","SIMULACION DE SISTEMAS DE ENERGIA ELECTRICA","2021-03-01","21"
"PA440","TRANSFORMADORES DE MEDIDA Y PROTECCION","2021-03-01","6"
"PA482","INTRODUCCION A LOS MATERIALES COMPUESTOS","2021-03-01","3"
"PA529","SISTEMAS EMBEBIDOS PARA TIEMPO REAL","2021-03-01","2"
"PA548","REDES DE DATOS 2","2021-03-01","2"
"PA563","INTRODUCCION A LA CIENCIA DE DATOS","2021-03-01","46"
"PA590","REMOCION DE NUTRIENTES DE AGUAS RESIDUALES","2021-03-01","15"
"PA600","HIDROGENO: VECTOR ENERGETICO DEL PRESENTE Y FUTURO","2021-03-01","18"
"PA602","APRENDIZAJE POR RECOMPENSAS","2021-03-01","22"
"PA603","TALLER DE SISTEMAS CIBER FISICOS","2021-03-01","1"
"PA606","EMULSIONES EN LA INDUSTRIA ALIMENTARIA","2021-03-01","6"
"PA608","VIDA UTIL DE ALIMENTOS","2021-03-01","9"
"PA609","TECNOLOGIAS DE REVALORIZACION DE RESIDUOS Y SUBPRODUCTOS AGROALIMENTARIOS","2021-03-01","8"
"PA611","MECANICA DE TRANSPORTE DE SEDIMENTOS","2021-03-01","4"
"PA623","ELEMENTOS ESTRUCTURALES ELASTICOS","2021-03-01","3"
"PA93","OPTIMIZACION CON APLICACION A LA PLANIFICACION CON INCERTIDUMBRE","2021-03-01","6"
"PC107","BASES DE DATOS NO RELACIONALES","2021-03-01","10"
"PC149","CENTRO DE ENSAYOS DE SOFTWARE: DOCUMENTACION Y REPORTES","2021-03-01","24"
"PC21","METODOS DE GESTION DE PROYECTOS","2021-03-01","4"
"PE104","SEMINARIO DE INGENIERIA BIOMEDICA","2021-03-01","2"
"PE127","IMAGENES MEDICAS:ADQUISICION, INSTRUMENTACION Y GESTION","2021-03-01","2"
"PE159","RECEPCION, INSTALACION Y MANTENIMIENTO DE TRANSFORMADORES","2021-03-01","15"
"PE310","INTRODUCCION A LOS SISTEMAS DE PROTECCION DE SISTEMAS ELECTRICOS DE POTENCIA","2021-03-01","1"
"PE316","INTRODUCCION A LA TEORIA DE LA INFORMACION","2021-03-01","2"
"PE95","REDES ELECTRICAS","2021-03-01","6"
"PG13","PENSAMIENTO SISTEMICO","2021-03-01","8"
"Q196","DISEÑO DE PROCESOS QUIMICOS","2021-03-01","30"
"Q56","TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS","2021-03-01","15"
"Q624","GESTION DE LOS PROCES.  EN LA INDUSTRIA","2021-03-01","57"
"TCI11","INT. A LA GEODESIA Y SIST. DE POS. GLOBAL","2021-03-01","14"
"TCI13","CARTOGRAFIA MATEMATICA","2021-03-01","15"
"TCI22","LEGISLACION TERRITORIAL","2021-03-01","10"
"TCI24","CAPTURA DE DATOS POR PERCEPCION REMOTA","2021-03-01","27"
"TCI26","PROYECTO","2021-03-01","5"
"TCI29","TALLER DE CARTAS GEOGRAFICAS","2021-03-01","15"
"TI01","PRINCIPIOS DE PROGRAMACION","2021-03-01","13"
"TI02","MATEMATICA DISCRETA Y LOGICA 1","2021-03-01","16"
"TI03","MATEMATICA","2021-03-01","19"
"TI04","INGLES TECNICO 1 (ACT.COMPL.1)","2021-03-01","17"
"TI05","ARQUITECTURA DE COMPUTADORAS","2021-03-01","9"
"TI11","REDES DE COMPUTADORAS","2021-03-01","25"
"TI12","PROGRAMACION AVANZADA","2021-03-01","37"
"TI13","BASES DE DATOS II","2021-03-01","24"
"TI14","CONTABILIDAD (ACT.COMPL.4)","2021-03-01","33"
"TI15","COMUNICACION ORAL Y ESCRITA (ACT.COMPL3)","2021-03-01","27"
"TI21","PASANTIA LABORAL","2021-03-01","8"
"TI22","DESARR.DE APLIC.BASAD.EN TECNOL.GENEXUS","2021-03-01","30"
"TI24","TALLER DE SISTEMAS DE INFORMAC.JAVA EE","2021-03-01","23"
"TI25","TALLER DE APLICACIONES DE INTERNET RICAS","2021-03-01","27"
"TI27","PROYECTO","2021-03-01","27"
"TI29","TALLER DE SIST.DE INF.GEOGRAFICA","2021-03-01","13"
"TI42","FUNDAMENTOS DE LA ROBÓTICA AUTÓNOMA","2021-03-01","15"
"TI43","INT. AL TESTING FUNCIONAL","2021-03-01","19"
"TI45","COMPETENCIAS ROBOTICAS-IEEE SEK","2021-03-01","17"
"TIM10","TALLER 1: AJUSTE Y MONTAJE","2021-03-01","29"
"TIM11","TALLER 2: METROLOGÍA","2021-03-01","36"
"TIM12","TALLER 3: MAQUINAS HERRAMIENTAS","2021-03-01","38"
"TIM13","TALLER 4: MOTORES DE COMBUSTION INTERNA","2021-03-01","37"
"TIM20","MATEMATICA 1","2021-03-01","41"
"TIM22","MATEMATICA 3","2021-03-01","31"
"TIM31","FISICA 2","2021-03-01","22"
"TIM41","TRANSFERENCIA DE CALOR","2021-03-01","32"
"TIM42","MAQUINAS PARA FLUIDOS","2021-03-01","29"
"TIM47","INT. A LA COMBUSTION","2021-03-01","12"
"TIM50","INT. A LA CIENCIA DE LOS MATERIALES","2021-03-01","61"
"TIM52","COMPORTAMIENTO MEC. DE MATERIALES","2021-03-01","28"
"TIM54","METALURGIA DE TRANSFORMACION","2021-03-01","4"
"TIM55","DISEÑO ASISTIDO POR COMPUTADOR","2021-03-01","18"
"TIM56","CONTROL NUMERICO COMPUTARIZADO 1","2021-03-01","4"
"TIM61","CONTROL DE CALIDAD","2021-03-01","15"
"TIM71","MAQUINAS ELECTRICAS","2021-03-01","22"
"TIM72","INSTRUMENTACION Y CONTROL","2021-03-01","19"
"TIM80","PASANTIA","2021-03-01","5"
"TIM81","INGLES TECNICO","2021-03-01","24"
"PE242","FUNDAMENTOS DE PROGRAMACION ENTERA","2021-03-02","1"
"PA284","HIDROLOGIA APLICADA A LA INGENIERIA AMBIENTAL","2021-03-03","4"
"PA308","COMPUTACION DE PROPOSITO GENERAL EN UNIDADES DE PROCESAMIENTO GRAFICO","2021-03-08","3"
"PA323","METODOLOGIAS DE INVESTIGACION Y REDACCION DE TESIS Y ARTICULOS CIENTIFICOS","2021-03-08","15"
"PA439","TECNICAS DE APRENDIZAJE AUTOMATICO","2021-03-08","10"
"PA476","TALLER DE PLANIFICACION Y SEGUIMIENTO DE PROYECTOS DE SOFTWARE","2021-03-08","8"
"PA63","ESTIMACION NUMERICA MONTE CARLO","2021-03-08","7"
"PA684","CENTRO DE ENSAYOS DE SOFTWARE: INTR. A LA AUTOMATIZACION DEL TESTING FUNCIONAL","2021-03-08","11"
"PE299","FUNDAMENTOS DE CRIPTOGRAFIA","2021-03-08","6"
"PE030","ESTIMACIÓN Y PREDICCIÓN EN SERIES TEMPORALES","2021-03-09","5"
"PF32","MICROBIOLOGIA AMBIENTAL","2021-03-09","7"
"PA631","FUNDAMENTOS DE LA WEB SEMANTICA","2021-03-15","4"
"PA685","CENTRO DE ENSAYOS DE SOFTWARE: INTRODUCCION AL TESTING DE SOFTWARE","2021-03-15","53"
"PA575","SISTEMAS DE INFORMACION PARA EL ANALISIS DE GRANDES VOLUMENES DE DATOS","2021-03-16","10"
"PM60","ESTADISTICA MULTIVARIADA COMPUTACIONAL","2021-03-18","28"
"PA687","CENTRO DE ENSAYOS DE SOFTWARE: TECNICAS DE TESTING FUNCIONAL 1","2021-03-29","29"
"PE339","FUNDAMENTOS DEL SECTOR ENERGETICO","2021-04-05","24"
"PA466","LABORATORIO CREATIVO (LABC)","2021-04-09","9"
"PA577","ANALITICA DE DATOS SOCIAL","2021-04-12","7"
"PA619","PETROGRAFIA EN HORMIGON. ESTUDIO DE LA REACCION ALCALI-SILICE","2021-04-12","23"
"PA690","CENTRO DE ENSAYOS DE SOFTWARE: INTRODUCCION A LA GESTION DE INCIDENTES","2021-04-19","57"
"PA22","TOXICOLOGIA AMBIENTAL","2021-04-20","7"
"PA455","INTRODUCCION A LA ESTADÍSTICA USANDO SOFTWARE","2021-04-20","10"
"PC97","SEGURIDAD EN APLICACIONES","2021-04-21","10"
"PA096","PRUEBAS EN EL PROCESO DE DESARROLLO DE SOFTWARE","2021-04-26","10"
"PA401","PROCESOS TERMOQUIMICOS PARA LA OBTENCION DE ENERGIA A PARTIR DE BIOMASA","2021-04-30","12"
"PA684","CENTRO DE ENSAYOS DE SOFTWARE: INTR. A LA AUTOMATIZACION DEL TESTING FUNCIONAL","2021-05-03","33"
"AC21","PRODUCTOS ESTRUCTURALES DE MADERA","2021-05-10","6"
"1213","PLANIFICACION DE CLASES: DISEÑO DE UNID.DIDACT.","2021-05-11","1"
"PA573","ANALISIS SEMANTICO DE LENGUAJE NATURAL","2021-05-13","6"
"PA686","CENTRO DE ENSAYOS DE SOFTWARE: INTRODUCCION AL TESTING FUNCIONAL","2021-05-17","56"
"PA43","HIDRAULICA DE CONDUCCIONES A SUPERFICIE LIBRE","2021-05-31","3"
"PA469","CALIDAD E INTEGRACION DE DATOS","2021-05-31","25"
"AC32","INTRODUCCION AL DISEÑO DE REACTORES","2021-06-01","2"
"PA617","DISEÑO Y CALCULO ESTRUCTURAL CON MADERA SEGUN EL METODO DE LOS ESTADOS LIMITE","2021-06-01","6"
"PA639","CONFIABILIDAD ESTRUCTURAL DE COMPONENTES MECÁNICOS CON DAÑO","2021-06-01","4"
"PE199","SEGURIDAD DE REDES TCP/IP","2021-06-01","10"
"PA473","LIDERANDO EQUIPOS DE DESARROLLO DE SOFTWARE","2021-06-21","9"
"TI09","BASES DE DATOS I","2021-07-02","1"
"PF84","INTRODUCCION A LA TURBULENCIA","2021-07-05","9"
"PA480","VISUALIZACION CIENTIFICA","2021-07-12","18"
"PA685","CENTRO DE ENSAYOS DE SOFTWARE: INTRODUCCION AL TESTING DE SOFTWARE","2021-07-12","24"
"Q100","TECNOLOGIA Y SERV. INDUSTRIALES 2","2021-07-19","90"
"Q28","FUND. DE LA PROD. DE CELULOSA Y PAPEL","2021-07-19","15"
"Q29","CONTROL DE LA CORROSION","2021-07-19","12"
"Q57","PROYECTO INDUSTRIAL 2","2021-07-19","86"
"Q59","INT. A LA ING. QUIMICA Y DE PROCESOS","2021-07-19","169"
"Q66","FLUIDODINAMICA","2021-07-19","152"
"Q70","INGENIERIA DE LAS REACCIONES QUIMICAS 2","2021-07-19","93"
"Q73","MECANICA APLICADA (ING.QUÍM)","2021-07-19","72"
"Q74","TRANSFERENCIA DE CALOR Y MASA 1","2021-07-19","130"
"Q82","PASANTIA-TRABAJO EXPERIM. MOD.1 BASICO","2021-07-19","33"
"Q88","ENERGIA APLICADA A LA INDUSTRIA","2021-07-19","3"
"PA635","CENTRO DE ENSAYOS DE SOFTWARE: INTRODUCCIÓN A LAS BASES DE DATOS PARA TESTERS","2021-07-20","56"
"2216","TUTORIAS ENTRE PARES 1","2021-08-01","3"
"2217","TUTORIAS ENTRE PARES 2","2021-08-01","3"
"1023","MATEMATICA DISCRETA 1","2021-08-02","833"
"1025","PROBABILIDAD Y ESTADISTICA","2021-08-02","267"
"1026","MATEMATICA DISCRETA 2","2021-08-02","236"
"1030","GEOMETRIA Y ALGEBRA LINEAL 1","2021-08-02","785"
"1031","GEOMETRIA Y ALGEBRA LINEAL 2","2021-08-02","920"
"1033","METODOS NUMERICOS","2021-08-02","466"
"1061","CALCULO DIF. E INTEGRAL EN UNA VARIABLE","2021-08-02","750"
"1062","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES","2021-08-02","1174"
"1063","CALCULO VECTORIAL","2021-08-02","197"
"1064","INT. A LAS ECUACIONES DIFERENCIALES","2021-08-02","437"
"1123","FISICA TERMICA","2021-08-02","177"
"1128","ELECTROMAGNETISMO","2021-08-02","115"
"1129","OPTICA","2021-08-02","3"
"1144","VIBRACIONES Y ONDAS","2021-08-02","40"
"1151","FISICA 1","2021-08-02","837"
"1152","FISICA 2","2021-08-02","287"
"1153","FISICA 3","2021-08-02","254"
"1155","FISICA EXPERIMENTAL 2","2021-08-02","169"
"1208","MODULO DE EXTENSION 2","2021-08-02","1"
"1209","MODULO DE EXTENSION 4","2021-08-02","3"
"1214","INT. AL DISEÑO Y MONTAJE DE LAS IND.DE PROC.","2021-08-02","24"
"1216","TALLER ENCARARE: CREAR","2021-08-02","29"
"1220","TALLER DE DISEÑO, COM. Y REPRES. GRAFICA","2021-08-02","172"
"1224","ECONOMIA","2021-08-02","946"
"1224A","ECONOMÍA (AREA)","2021-08-02","20"
"1225","POLITICAS CIENTIFICAS EN INF.Y COMP.","2021-08-02","67"
"1226","MECANICA DE LOS FLUIDOS","2021-08-02","40"
"1312","RESISTENCIA DE MATERIALES 2","2021-08-02","81"
"1322","PROGRAMACION 1","2021-08-02","1193"
"1323","PROGRAMACION 3","2021-08-02","308"
"1327","TALLER DE PROGRAMACION","2021-08-02","195"
"1347","CONST.FORMAL DE PROGR.EN TEORIA DE TIPOS","2021-08-02","6"
"1350","PROGRAMACION FUNCIONAL AVANZADA","2021-08-02","10"
"1355","COMPLEJIDAD COMPUTACIONAL","2021-08-02","8"
"1411","COMPUTACION 1","2021-08-02","430"
"1422","GEODESIA 2","2021-08-02","11"
"1437","TALLER DE SEGURIDAD INFORMATICA","2021-08-02","9"
"1438","APLICACIONES DE TEORIA DE LA INFORMACION AL PROC. DE IMAG.","2021-08-02","12"
"1440","ANALISIS Y DISEÑO DE ALGORIT.DISTRIB.EN REDES","2021-08-02","9"
"1443","ARQUITECTURA DE COMPUTADORAS","2021-08-02","190"
"1446","REDES DE COMPUTADORAS","2021-08-02","218"
"1456","TEORIA DE CIRCUITOS","2021-08-02","115"
"1459","TALLER FOURIER","2021-08-02","58"
"1460","SEÑALES ALEATORIAS Y MODULACION","2021-08-02","124"
"1509","TOPOGRAFIA 2","2021-08-02","9"
"1510","CONTROL DE CALIDAD","2021-08-02","191"
"1512","DISEÑO LOGICO","2021-08-02","145"
"1521","TEORIA DE ERRORES 1","2021-08-02","17"
"1524","TOPOGRAFIA 3","2021-08-02","11"
"1526","TEORIA DE INSTRUMENTAL","2021-08-02","11"
"1537","SISTEMAS OPERATIVOS","2021-08-02","59"
"1538","REDES DE SENSORES INALAMBRICOS","2021-08-02","15"
"1543","INT. AL NEGOCIO DEL SOFTWARE","2021-08-02","92"
"1557","MULTIMEDIA SOBRE IP","2021-08-02","4"
"1612","ASTRONOMIA GEODESICA","2021-08-02","14"
"1614","AVALUACIONES 1","2021-08-02","11"
"1618","AVALUACIONES 2","2021-08-02","14"
"1619","CATASTRO","2021-08-02","12"
"1624","MODELADO Y OPTIMIZACION","2021-08-02","14"
"1633","TEORIA, ALGORIT. Y APLIC. DE GEST. LOGIS","2021-08-02","23"
"1634","ANALISIS DE DATOS EN REDES COMPLEJAS","2021-08-02","7"
"1637","ALGORITMOS EVOLUTIVOS","2021-08-02","32"
"1638","REFRIGERACION","2021-08-02","47"
"1640","OPTIMIZACION CONTINUA Y APLICACIONES","2021-08-02","1"
"1715","INT. A LA CONSTRUCCION","2021-08-02","79"
"1718","DINAMICA DE MAQUINAS Y VIBRACION","2021-08-02","8"
"1719","METALURGIA FISICA","2021-08-02","85"
"1721","PROYECTO DE INGENIERIA DE SOFTWARE","2021-08-02","162"
"1727","MATERIALES COMPUESTOS","2021-08-02","1"
"1729","TRANSPORTE INDUSTRIAL","2021-08-02","7"
"1730","PROYECTO DE GRADO","2021-08-02","16"
"1731","PASANTIA (COMPUTACION)","2021-08-02","80"
"1742","TALLER DE VERIFICACION DEL SOFTWARE","2021-08-02","20"
"1751","TALLER DE SISTEMAS DE INFORMACION 1","2021-08-02","14"
"1765","COMPORTAMIENTO MECANICO DE MATERIALES 2","2021-08-02","78"
"1777","PROFESION EN INGENIERIA DE SOFTWARE","2021-08-02","7"
"1779","INVESTIGACION DE OPER.Y GEST. DE RIESGOS","2021-08-02","56"
"1802","CALIDAD DE DATOS E INFORMACION","2021-08-02","11"
"1815","GENERADORES DE VAPOR","2021-08-02","40"
"1823","TRANSFERENCIA DE CALOR 1","2021-08-02","65"
"1828","INT. AL PROCESAMIENTO DE LENG. NATURAL","2021-08-02","46"
"1833","HIDROLOGIA E HIDRAULICA APLICADAS","2021-08-02","57"
"1847","HIDROLOGIA AVANZADA II","2021-08-02","10"
"1852","DISEÑO DE REDES DE COND.EN ING.SANITARIA","2021-08-02","8"
"1853","POTABILIZACION DE AGUAS","2021-08-02","13"
"1855","GESTION DE CALIDAD AMBIENTAL","2021-08-02","10"
"1858","FOTOGRAMETRIA","2021-08-02","26"
"1859","MAQUINAS PARA FLUIDOS II","2021-08-02","9"
"1866","APRENDIZAJE AUTOMATICO","2021-08-02","74"
"1874","MORFODINAMICA DE SISTEMAS FLUVIALES Y COSTEROS","2021-08-02","2"
"1911","FUNDAMENTOS DE BASES DE DATOS","2021-08-02","207"
"1913","AGRIMENSURA LEGAL 2","2021-08-02","9"
"1922","COSTOS PARA INGENIERIA","2021-08-02","158"
"1926","INT. A LOS SIST. DE INFOR. GEOGRAFICA","2021-08-02","11"
"1927","TEORIA DE RESTRICCIONES","2021-08-02","27"
"1933","TECNICAS AVANZADAS PARA LA GEST. DE SIST. DE INF.","2021-08-02","39"
"1938","RECUPERACION DE INF. Y RECOMEND. EN LA WEB (WIR)","2021-08-02","52"
"1941","INTEGRACION DE DATOS","2021-08-02","10"
"1945","PRACTICA DE ADMINISTRACION PARA INGENIEROS","2021-08-02","178"
"1946","TALLER DE ADMINISTRACION PARA INGENIERIA CIVIL","2021-08-02","15"
"1947","TALLER DE LENG.Y TEC.DE LA WEB SEMANTICA","2021-08-02","7"
"1948","INT. AL MIDDLEWARE","2021-08-02","15"
"1951","TALLER: HERRAMIENTAS PARA LA INNOVACION","2021-08-02","32"
"1952","TALLER DE SISTEMAS CIBER-FISICOS","2021-08-02","3"
"2001","TALLER","2021-08-02","52"
"2002","PASANTIA","2021-08-02","39"
"2011","PASANTIA (ELECTRICA)","2021-08-02","17"
"2013","PROYECTO (ING.ELEC.)","2021-08-02","8"
"2014","AGRIMENSURA LEGAL 4","2021-08-02","5"
"2018","MODULO DE TALLER 1","2021-08-02","19"
"2020","MODULO DE TALLER 2","2021-08-02","2"
"2022","MODULO DE TALLER 4","2021-08-02","8"
"2032","MODULO DE EXTENSION- INGENIERIA MECANICA","2021-08-02","5"
"2033","TALLER 2:MODEL.CUANT.PARA PROBL.DE PROD.","2021-08-02","47"
"2035","TALLER 4:MEJORA DE LA COMPETITIVIDAD","2021-08-02","32"
"2037","OPTIMIZACION DE PROBLEMAS DE PRODUCCION","2021-08-02","42"
"2038","TIEMPOS Y METODOS","2021-08-02","42"
"2039","EVALUACION ECON.Y FINAN.DE PROY.DE INV.","2021-08-02","26"
"2040","INICIACION A LA PROD. AUDIOVIS. Y MULTIMEDIA","2021-08-02","24"
"2060","PASANTIA","2021-08-02","2"
"2061","PROYECTO 1 (ING SIST COM.)","2021-08-02","1"
"2098","PASANTIA","2021-08-02","11"
"2109","ELECTROTECNICA II","2021-08-02","65"
"2110","PROYECTO (AGRIM.)","2021-08-02","5"
"2200","SISTEMAS OLEOHIDRAULICOS Y NEUMATICOS","2021-08-02","31"
"2206","GEOLOGIA DE INGENIERIA","2021-08-02","74"
"2211","MODULO TALLER EXTENSION ING.AMBIENTAL 2","2021-08-02","3"
"2216","TUTORIAS ENTRE PARES 1","2021-08-02","14"
"2217","TUTORIAS ENTRE PARES 2","2021-08-02","21"
"2218","LABORATORIO DE MECANICA DE SUELOS","2021-08-02","22"
"2232","CAMINOS Y CALLES 2","2021-08-02","20"
"2246","SEGURIDAD EN LA CONSTRUCCION","2021-08-02","56"
"2247","GEOESTADISTICA APLICADA","2021-08-02","10"
"2256","ELEMENTOS DE INGENIERIA AMBIENTAL","2021-08-02","131"
"2315","INT. A LA INGENIERIA SANITARIA","2021-08-02","111"
"2316","TRATAMIENTO DE EFLUENTES","2021-08-02","15"
"2321","LABORATORIO DE TECNOLOGIA DEL HORMIGON","2021-08-02","13"
"2352","PROCEDIMIENTOS CONST. OBRAS VIALES Y SUELO","2021-08-02","38"
"2356","MAMPOSTERIA ESTRUCTURAL","2021-08-02","16"
"2359","PUENTES","2021-08-02","29"
"2368","RESISTENCIA DE MATERIALES 1","2021-08-02","64"
"2375","INT. A LA CORROSION DEL HORMIGON ARMADO","2021-08-02","8"
"2379","LABORATORIO DE RESISTENCIA DE MATERIALES","2021-08-02","20"
"2380","MET. COMPUT.APLIC.AL CALCULO ESTRUCTURAL","2021-08-02","36"
"2384","ESTRUCTURAS DE MADERA","2021-08-02","50"
"2395","HORMIGON ESTRUCTURAL 2","2021-08-02","43"
"2396","OBRAS HIDRAULICAS","2021-08-02","9"
"2400","PROYECTO TRANSPORTE 1","2021-08-02","2"
"2405","PROYECTO HIDRAULICA-AMBIENTAL","2021-08-02","3"
"2407","PROYECTO, PLANIF. Y CONST. DE OBRAS 2","2021-08-02","16"
"2413","INT. A BASES DE DATOS","2021-08-02","23"
"2416","INT. A LA INGENIERIA DE PRODUCCION","2021-08-02","80"
"2417","INGENIERIA DE SOFTWARE BASADA EN EVIDENCIAS","2021-08-02","8"
"2418","INGENIERIA DE ONTOLOGIAS","2021-08-02","3"
"2450","PASANTIA (CIVIL)","2021-08-02","35"
"2506","MAQUINAS Y EQUIPOS PARA TRANSPORTE","2021-08-02","1"
"2507","TRANSPORTE FLUVIAL Y MARITIMO","2021-08-02","8"
"2508","TRANSPORTE AEREO","2021-08-02","10"
"2510","INT. AL TRANSPORTE","2021-08-02","62"
"2511","TRANSPORTE URBANO","2021-08-02","11"
"2603","MAQUINARIA NAVAL","2021-08-02","2"
"2604","TEORIA DEL BUQUE","2021-08-02","4"
"3207","HERRAMIENTAS P/EL DISEÑO Y ANALISIS DE REDES DE TRANSP.URB DE PASAJEROS","2021-08-02","7"
"5507","INSTALACIONES ELECTRICAS","2021-08-02","73"
"5511","PROYECTO DE INSTALACIONES ELECTRICAS DE BAJA Y MEDIA TENSION","2021-08-02","18"
"5519","ENSAYOS ELECTRICOS Y EQUIPOS DE MEDIA TENSION","2021-08-02","3"
"5520","TRANSPORTE DE ENERGIA ELECTRICA","2021-08-02","5"
"5602","MAQUINAS ELECTRICAS","2021-08-02","17"
"5604","TALLER LAB. ELECT. DE POTENCIA: RECT. E INVER.","2021-08-02","3"
"5610","TALLER LAB. ELECT. DE POTENCIA","2021-08-02","2"
"5708","DISEÑO DE CIRCUITOS INTEGRADOS","2021-08-02","3"
"5710","INGENIERIA BIOMEDICA","2021-08-02","3"
"5716","ELECTRONICA AVANZADA 1","2021-08-02","29"
"5724","DISEÑO DE SISTEMAS MEDICOS IMPLANTABLES ACTIVOS","2021-08-02","7"
"5821","PROPAGACION EN ENTORNOS URBANOS","2021-08-02","2"
"5824","REDES DE DATOS 1","2021-08-02","64"
"5828","TRATAMIENTO DE IMAGENES POR COMPUTADORA","2021-08-02","22"
"5847","PROCESAMIENTO DE IMAGENES PARA BIOLOGIA Y MEDICINA","2021-08-02","1"
"5848","COMUNICACIONES INALAMBRICAS","2021-08-02","3"
"5851","TECNOLOGIA DE SERVICIOS AUDIOVISUALES","2021-08-02","2"
"5852","FUNDAMENTOS DE APRENDIZAJE AUTOMATICO Y RECONOCIMIENTO DE PATRONES","2021-08-02","53"
"5857","LABORATORIO DE MEDIDAS FISICAS","2021-08-02","16"
"5904","TALLER DE INTRODUCCION A LA ING. ELECTRICA","2021-08-02","16"
"5905","SISTEMAS Y CONTROL","2021-08-02","113"
"5910","INT. A LOS PLC","2021-08-02","11"
"5914","ALGEBRA LINEAL NUMERICA","2021-08-02","11"
"A65","HIGIENE Y SERV. DE PLANTAS PROC. DE ALIMENTOS","2021-08-02","18"
"A88","PASANTIA-TRABAJO PRACTICO DE GRADO,MOD.1","2021-08-02","11"
"AC10","TRANSPORTE DE ENERGIA ELECTRICA","2021-08-02","1"
"LIB10","TALLER DE INGENIERÍA BIOLÓGICA II","2021-08-02","3"
"MI2","MATEMATICA INICIAL","2021-08-02","157"
"PA027","TEMAS AVANZADOS EN SISTEMAS INALAMBRICOS (TASI)","2021-08-02","1"
"PA081","ANALISIS ESTADISTICO DE DATOS CLIMATICOS","2021-08-02","8"
"PA110","EFICIENCIA ENERGETICA","2021-08-02","12"
"PA138","INGENIERIA CLINICA","2021-08-02","11"
"PA159","CALIDAD DE ENERGIA: CONCEPTOS Y HERRAMIENTAS PARA SU ABORDAJE","2021-08-02","3"
"PA160","PROGRAMACION FUNCIONAL AVANZADA","2021-08-02","1"
"PA246","TALLER DE PROYECTOS DE INVESTIGACION ACADEMICOS INNOVADORES (TPIAI)","2021-08-02","5"
"PA280","TRANSITORIOS ELECTROMAGNETICOS EN SISTEMAS DE POTENCIA","2021-08-02","11"
"PA312","MULTIMEDIA SOBRE IP","2021-08-02","1"
"PA338","FUNDAMENTOS DE INFORMATICA URBANA: ANALISIS Y PROCESAMIENTO DE DATOS","2021-08-02","7"
"PA395","ENSAYOS ELECTRICOS Y EQUIPAMIENTOS DE MEDIA TENSION","2021-08-02","7"
"PA396","ALGORITMOS EVOLUTIVOS","2021-08-02","1"
"PA402","TECNOLOGIA DE SERVICIOS AUDIOVISUALES","2021-08-02","1"
"PA453","EVOLUCION DE SOFTWARE","2021-08-02","9"
"PA461","TALLER DE CALIDAD DE DATOS","2021-08-02","6"
"PA464","APLICACION PRACTICA DE DISEÑO Y ENSAYOS DE PROTECCION DE LOS SISTEMAS ELECTRICOS","2021-08-02","8"
"PA465","ALIMENTOS Y PROCESO SALUD- ENFERMEDAD","2021-08-02","2"
"PA470","DISEÑO DIGITAL DE BAJO CONSUMO","2021-08-02","1"
"PA513","TECNOLOGIAS ACTUALES EN MOTORES DE COMBUSTION INTERNA","2021-08-02","1"
"PA567","VEHICULOS HIBRIDOS, ELECTRICOS Y A HIDROGENO","2021-08-02","12"
"PA569","EXPERIMENTANDO CON METODOS AGILES DE SOFTWARE","2021-08-02","18"
"PA572","BIM (BULDING INFORMATION MODELIN) INTRODUCTORIO PARA INGENIERIA","2021-08-02","13"
"PA596","APRENDIZAJE PROFUNDO PARA VISION ARTIFICIAL","2021-08-02","20"
"PA597","DISEÑO DE CIRCUITOS INTEGRADOS","2021-08-02","1"
"PA604","FISICOQUIMICA DE SISTEMAS LIPIDICOS","2021-08-02","2"
"PA605","QUIMICA Y TECNOLOGIA DE CEREALES, DESARROLLO DE PRODUCTOS A BASE DE HARINAS","2021-08-02","11"
"PA607","PROCESOS FERMENTATIVOS DE LA INDUSTRIA CERVECERA Y VITIVINICOLA","2021-08-02","4"
"PA610","EVALUACION SENSORIAL APLICADA AL DESARROLLO DE PRODUCTOS","2021-08-02","2"
"PA614","ANALISIS NO LINEAL DE ESTRUCTURAS","2021-08-02","3"
"PA618","PATOLOGIAS Y DURABILIDAD DE ESTRUCTURAS DE HORMIGON","2021-08-02","6"
"PA622","INSTRUMENTACION Y REHABLIT. PRE Y POST RECONST. DEL LIGAMENTO CRUZADO ANTERIOR","2021-08-02","3"
"PA626","REPENSANDO LOS SISTEMAS ALIMENTARIOS","2021-08-02","13"
"PA627","ANALISIS DE REDES DE TRANSPORTE URBANO","2021-08-02","1"
"PA628","ANALISIS DE DATOS EN REDES","2021-08-02","6"
"PA632","INGENIERIA DE SOFTWARE BASADA EN EVIDENCIAS Y REVISIONES SISTEMATICAS","2021-08-02","2"
"PA633","INGENIERIA ONTOLOGICA","2021-08-02","2"
