"codenservicio_mat","nombre_mat","fecha_inicio","cantidad"
"1857","FUNDAMENTOS DE LA ROBOTICA AUTONOMA","2020-03-02","17"
"1864","ANALISIS SEMANTICO DE LENGUAJE NATURAL","2020-03-02","15"
"1866","APRENDIZAJE AUTOMATICO","2020-03-02","41"
"1910","AGRIMENSURA LEGAL 1","2020-03-02","16"
"1915","ADMINISTRACION DE OPERACIONES","2020-03-02","27"
"1918","ADMINISTRACION Y SEGURIDAD DE SISTEMAS","2020-03-02","42"
"1920","GESTION DE MANTENIMIENTO","2020-03-02","46"
"1940","GESTION DE CALIDAD","2020-03-02","54"
"1942","FUNDAMENTOS DE LA WEB SEMANTICA","2020-03-02","51"
"1944","ADMINISTRACION GENERAL PARA INGENIEROS","2020-03-02","351"
"1952","TALLER DE SISTEMAS CIBER-FISICOS","2020-03-02","3"
"2002","PASANTIA","2020-03-02","11"
"2004","PROYECTO","2020-03-02","34"
"2011","PASANTIA (ELECTRICA)","2020-03-02","24"
"2013","PROYECTO (ING.ELEC.)","2020-03-02","23"
"2018","MODULO DE TALLER 1","2020-03-02","10"
"2020","MODULO DE TALLER 2","2020-03-02","6"
"2022","MODULO DE TALLER 4","2020-03-02","2"
"2023","AVALUACIONES 3","2020-03-02","11"
"2060","PASANTIA","2020-03-02","1"
"2098","PASANTIA","2020-03-02","11"
"2099","PROYECTO","2020-03-02","19"
"2108","ELECTROTECNICA I","2020-03-02","155"
"2112","PASANTIA (AGRIMENSURA)","2020-03-02","6"
"2207","INT. A LA MECANICA DE SUELOS","2020-03-02","78"
"2211","MODULO TALLER EXTENSION ING.AMBIENTAL 2","2020-03-02","5"
"2230","ELEMENTOS DE TOPOGRAFIA","2020-03-02","44"
"2231","CAMINOS Y CALLES 1","2020-03-02","31"
"2240","COSTOS","2020-03-02","85"
"2244","ELEMENTOS DE GESTION LOGISTICA","2020-03-02","20"
"2253","INT. A LA EVALUACION Y GESTION AMBIENTAL","2020-03-02","10"
"2309","EJERCICIOS DE INGENIERIA SANITARIA","2020-03-02","10"
"2314","ESTABILIDAD DE LOS SIST.ELEC.DE POTENCIA","2020-03-02","4"
"2355","HORMIGON PRETENSADO","2020-03-02","32"
"2359","PUENTES","2020-03-02","23"
"2366","ELASTICIDAD","2020-03-02","92"
"2371","TECNOLOGIA DEL HORMIGON","2020-03-02","63"
"2379","LABORATORIO DE RESISTENCIA DE MATERIALES","2020-03-02","22"
"2381","MECANICA ESTRUCTURAL","2020-03-02","32"
"2382","HORMIGON ESTRUCTURAL 1","2020-03-02","72"
"2389","PATOLOGIA DE LAS ESTRUCTURAS","2020-03-02","9"
"2391","PLANEAMIENTO ESTRATEGICO Y ESTRATEGIA COMPETITIVA","2020-03-02","10"
"2393","ESTRUCTURAS DE ACERO","2020-03-02","69"
"2394","ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS","2020-03-02","8"
"2397","HIDRAULICA FLUVIAL Y MARITIMA","2020-03-02","11"
"2399","DISEÑO HIDROLOGICO","2020-03-02","10"
"2403","PROYECTO TRANSPORTE 2","2020-03-02","16"
"2404","PROYECTO, PLANIF. Y CONST. DE OBRAS 1","2020-03-02","19"
"2405","PROYECTO HIDRAULICA-AMBIENTAL","2020-03-02","11"
"2410","PROYECTO DE INV.E INNOV.EN ING. ESTRUCT.","2020-03-02","6"
"2411","PROYECTO ESTRUCTURAL ANUAL","2020-03-02","29"
"2450","PASANTIA (CIVIL)","2020-03-02","33"
"2504","TRANSPORTE POR CARRETERA","2020-03-02","9"
"2505","TRANSPORTE FERROVIARIO","2020-03-02","15"
"2600","ESTRUCTURAS DE BUQUES","2020-03-02","1"
"2601","ALISTAMIENTO NAVAL","2020-03-02","7"
"2605","MANTENIMIENTO DE BUQUES","2020-03-02","6"
"2706","INSTRUMENTACION INDUSTRIAL","2020-03-02","74"
"2707","INT. AL CONTROL INDUSTRIAL","2020-03-02","48"
"2805","TALLER DE INGENIERIA CIVIL","2020-03-02","11"
"3334","FUNDAMENTOS DE INGENIERIA DE SOFTWARE","2020-03-02","29"
"5504","PROYECTO DE INSTALACIONES ELECTRICAS","2020-03-02","11"
"5508","REDES ELECTRICAS","2020-03-02","19"
"5514","SUBESTACIONES EN MEDIA TENSION","2020-03-02","18"
"5518","INT. A LOS SIST. DE PROT. DE SIST. ELECT. DE POT.","2020-03-02","4"
"5603","TALLER DE MAQUINAS ELECTRICAS","2020-03-02","15"
"5609","ELECTRONICA DE POTENCIA","2020-03-02","27"
"5705","SEMINARIO DE INGENIERIA BIOMEDICA","2020-03-02","5"
"5707","IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION","2020-03-02","6"
"5715","ELECTRONICA FUNDAMENTAL","2020-03-02","100"
"5717","ELECTRONICA AVANZADA 2","2020-03-02","31"
"5815","GESTION INTEGRADA DE REDES Y SERV. DE TELEC.","2020-03-02","4"
"5817","ANTENAS Y PROPAGACION","2020-03-02","13"
"5839","PROCESAMIENTO DIGITAL DE SEÑALES DE AUDIO","2020-03-02","15"
"5849","ESTIMACION Y PREDICCION EN SERIES TEMPORALES","2020-03-02","19"
"5850","ELECTROTECNICA","2020-03-02","74"
"5855","REDES DE DATOS 2","2020-03-02","17"
"5856","TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES","2020-03-02","5"
