id_dia,id_turno,capacidad
1,1,1600
1,2,1600
1,3,1600
2,1,1600
2,2,1600
2,3,1600
3,1,2000
3,2,2000
5,1,1600
5,2,1600
5,3,1600
6,1,1600
6,2,1600
6,3,1600
7,1,1600
7,2,1600
7,3,1600
8,1,1600
8,2,1600
8,3,1600
9,1,1600
9,2,1600
9,3,1600
10,1,2000
10,2,2000
12,1,1600
12,2,1600
12,3,1600
