Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,LOGICA & INT. A LA INGENIERIA DE SOFTWARE & ADMINISTRACION GENERAL PARA INGENIEROS & INSTRUMENTACION INDUSTRIAL & ELECTROTECNICA & TERMODINAMICA APL. A LA ING.DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 1 & ADMINISTRACION DE OPERACIONES & PATOLOGIA DE LAS ESTRUCTURAS & REDES ELECTRICAS & ANTENAS Y PROPAGACION & DINAMICA Y CONTROL DE PROCESOS,
Día 2,,,
Día 3,FISICA 2 & PROGRAMACION 2 & COMPORTAMIENTO MECANICO DE MATERIALES 1 & TRANSFERENCIA DE CALOR 2 & TECNOLOGIA DEL HORMIGON & INGENIERIA DE LAS REACCIONES QUIMICAS 1,ELASTICIDAD,MECANICA ESTRUCTURAL
Día 4,FISICA 1 & PROGRAMACION 1,MECANICA NEWTONIANA,INT. A LA INVESTIGACION DE OPERACIONES & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 5,,,
Día 6,GEOMETRIA Y ALGEBRA LINEAL 2 & ELECTROTECNICA I & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,CALIDAD DE AGUAS,PROBABILIDAD Y ESTADISTICA
Día 7,DISEÑO DE PROCESOS QUIMICOS,SEÑALES Y SISTEMAS,ELEMENTOS DE MECANICA DE LOS FLUIDOS
Día 8,SISTEMAS OPERATIVOS & INGENIERIA BIOQUIMICA,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & MAQUINAS PARA FLUIDOS I,
Día 9,,,
Día 10,CALCULO VECTORIAL & INT. A LA MECANICA DE SUELOS,ELECTRONICA AVANZADA 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,ELEMENTOS DE MAQUINAS
Día 11,,ENERGIA 1- COMBUSTION,MATEMATICA DISCRETA 1 & TEORIA DE LENGUAJES
Día 12,,MEDIDAS ELECTRICAS & GESTION DE CALIDAD,FISICA 3 & REDES DE DATOS 2
Día 13,INT. AL CONTROL INDUSTRIAL & SUBESTACIONES EN MEDIA TENSION & TECNOLOGIA Y SERV. INDUSTRIALES 1 & TRANSFERENCIA DE CALOR Y MASA 1,"MATEMATICA DISCRETA 2 & FUNCIONES DE VARIABLE COMPLEJA & HORMIGON ESTRUCTURAL 1 & ESTRUCTURAS DE ACERO & ELECTRONICA DE POTENCIA & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & MATERIALES Y ENSAYOS & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
