Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1 & ADMINISTRACION DE OPERACIONES & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & REDES DE DATOS 2 & INGENIERIA DE LAS REACCIONES QUIMICAS 1",MATEMATICA DISCRETA 2 & PROGRAMACION 1 & SEÑALES Y SISTEMAS & COMPORTAMIENTO MECANICO DE MATERIALES 1 & MAQUINAS PARA FLUIDOS I & ELASTICIDAD,
Día 2,,,
Día 3,MECANICA NEWTONIANA & TRANSFERENCIA DE CALOR 2 & CALIDAD DE AGUAS & REDES ELECTRICAS & SUBESTACIONES EN MEDIA TENSION & TERMODINAMICA APL. A LA ING.DE PROCESOS,MATEMATICA DISCRETA 1 & TEORIA DE LENGUAJES & INT. A LA MECANICA DE SUELOS & INGENIERIA BIOQUIMICA,LOGICA
Día 4,ELEMENTOS DE MAQUINAS & ELECTROTECNICA,MATERIALES Y ENSAYOS,ELECTROTECNICA I & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES
Día 5,,,
Día 6,ENERGIA 1- COMBUSTION & ELECTRONICA DE POTENCIA,CALCULO VECTORIAL,
Día 7,,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & FUNCIONES DE VARIABLE COMPLEJA,INT. A LA INVESTIGACION DE OPERACIONES & TECNOLOGIA DEL HORMIGON
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & MECANICA ESTRUCTURAL,PROBABILIDAD Y ESTADISTICA & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,
Día 9,,,
Día 10,SISTEMAS OPERATIVOS & ELEMENTOS DE MECANICA DE LOS FLUIDOS,PROGRAMACION 2,FISICA 2
Día 11,DISEÑO DE PROCESOS QUIMICOS,PATOLOGIA DE LAS ESTRUCTURAS,FISICA 1 & FISICA 3
Día 12,,INSTRUMENTACION INDUSTRIAL & DINAMICA Y CONTROL DE PROCESOS,ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,INT. A LA INGENIERIA DE SOFTWARE & HORMIGON ESTRUCTURAL 1 & ELECTRONICA AVANZADA 2 & ANTENAS Y PROPAGACION,MEDIDAS ELECTRICAS & GESTION DE CALIDAD & ESTRUCTURAS DE ACERO & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & TECNOLOGIA Y SERV. INDUSTRIALES 1 & TRANSFERENCIA DE CALOR Y MASA 1,GEOMETRIA Y ALGEBRA LINEAL 2 & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION & INT. AL CONTROL INDUSTRIAL & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
