Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,PROBABILIDAD Y ESTADISTICA & FISICA 2 & SEÑALES Y SISTEMAS & ADMINISTRACION GENERAL PARA INGENIEROS & ELECTROTECNICA I & DINAMICA Y CONTROL DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 1 & MEDIDAS ELECTRICAS & GESTION DE CALIDAD & PATOLOGIA DE LAS ESTRUCTURAS & REDES DE DATOS 2,
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 & CALIDAD DE AGUAS & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & REDES ELECTRICAS & ELECTRONICA AVANZADA 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,ELEMENTOS DE MECANICA DE LOS FLUIDOS & SUBESTACIONES EN MEDIA TENSION,MECANICA NEWTONIANA
Día 4,SISTEMAS OPERATIVOS & TECNOLOGIA DEL HORMIGON,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,MAQUINAS PARA FLUIDOS I & DISEÑO DE PROCESOS QUIMICOS
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 & INT. A LA INVESTIGACION DE OPERACIONES & TECNOLOGIA Y SERV. INDUSTRIALES 1,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
Día 7,INT. AL CONTROL INDUSTRIAL,CALCULO VECTORIAL,
Día 8,LOGICA & HORMIGON ESTRUCTURAL 1,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & COMPORTAMIENTO MECANICO DE MATERIALES 1 & ELECTRONICA DE POTENCIA,
Día 9,,,
Día 10,ELEMENTOS DE MAQUINAS & ELASTICIDAD & MECANICA ESTRUCTURAL,FISICA 1,INGENIERIA BIOQUIMICA
Día 11,TRANSFERENCIA DE CALOR 2,,PROGRAMACION 2 & INT. A LA CIENCIA DE MATERIALES
Día 12,INGENIERIA DE LAS REACCIONES QUIMICAS 1,,FISICA 3 & PROGRAMACION 1
Día 13,INT. A LA INGENIERIA DE SOFTWARE & METALURGIA DE TRANSFORMACION & ENERGIA 1- COMBUSTION & INT. A LA MECANICA DE SUELOS & ESTRUCTURAS DE ACERO,FUNCIONES DE VARIABLE COMPLEJA & INSTRUMENTACION INDUSTRIAL & ANTENAS Y PROPAGACION & ELECTROTECNICA & TERMODINAMICA APL. A LA ING.DE PROCESOS & TRANSFERENCIA DE CALOR Y MASA 1,MATEMATICA DISCRETA 2 & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & TEORIA DE LENGUAJES & MATERIALES Y ENSAYOS & PRINCIPIOS DE QUIMICA GENERAL & ADMINISTRACION DE OPERACIONES
