Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"INSTRUMENTACION INDUSTRIAL, REDES DE DATOS 2, TRANSFERENCIA DE CALOR Y MASA 1, INGENIERIA BIOQUIMICA","CALCULO DIF. E INTEGRAL EN UNA VARIABLE, MAQUINAS PARA FLUIDOS I, ELECTRONICA DE POTENCIA, ELECTRONICA AVANZADA 2",
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2,SEÑALES Y SISTEMAS,REDES ELECTRICAS
Día 4,MATEMATICA DISCRETA 2,TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,FISICA 1
Día 5,LOGICA,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,PROBABILIDAD Y ESTADISTICA
Día 6,CALCULO VECTORIAL,SISTEMAS OPERATIVOS,"ELECTROTECNICA I, HORMIGON ESTRUCTURAL 1"
Día 7,"INT. A LA INGENIERIA DE SOFTWARE, DINAMICA Y CONTROL DE PROCESOS","ELEMENTOS DE MECANICA DE LOS FLUIDOS, GESTION DE CALIDAD, SUBESTACIONES EN MEDIA TENSION",ADMINISTRACION GENERAL PARA INGENIEROS
Día 8,"MECANICA NEWTONIANA, INT. A LA MECANICA DE SUELOS","GEOMETRIA Y ALGEBRA LINEAL 1, ENERGIA 1- COMBUSTION, ADMINISTRACION DE OPERACIONES",
Día 9,,,
Día 10,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,ELEMENTOS DE MAQUINAS,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 11,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION","COMPORTAMIENTO MECANICO DE MATERIALES 1, MECANICA ESTRUCTURAL, TERMODINAMICA APL. A LA ING.DE PROCESOS","MATERIALES Y ENSAYOS, DISEÑO DE PROCESOS QUIMICOS, TECNOLOGIA Y SERV. INDUSTRIALES 1"
Día 12,"TEORIA DE LENGUAJES, TECNOLOGIA DEL HORMIGON, INT. AL CONTROL INDUSTRIAL, ANTENAS Y PROPAGACION","FISICA 3, MEDIDAS ELECTRICAS, ELASTICIDAD, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","PROGRAMACION 1, INT. A LA INVESTIGACION DE OPERACIONES, PRINCIPIOS DE QUIMICA GENERAL, METALURGIA DE TRANSFORMACION"
Día 13,"CALIDAD DE AGUAS, PATOLOGIA DE LAS ESTRUCTURAS, ESTRUCTURAS DE ACERO","FUNCIONES DE VARIABLE COMPLEJA, PROGRAMACION 2, TRANSFERENCIA DE CALOR 2, ELECTROTECNICA","MATEMATICA DISCRETA 1, FISICA 2, INT. A LA CIENCIA DE MATERIALES, INGENIERIA DE LAS REACCIONES QUIMICAS 1"
