Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2 (1026) & FISICA 3 (1153) & TEORIA DE LENGUAJES (1325) & SEÑALES Y SISTEMAS (1457) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & CALIDAD DE AGUAS (1854) & GESTION DE CALIDAD (1954) & TECNOLOGIA DEL HORMIGON (2371) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56),
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & MATERIALES Y ENSAYOS (1508) & INT. A LA CIENCIA DE MATERIALES (1723) & INSTRUMENTACION INDUSTRIAL (2706) & INT. AL CONTROL INDUSTRIAL (2707) & ELECTROTECNICA (5850),PRINCIPIOS DE QUIMICA GENERAL (1620) & DINAMICA Y CONTROL DE PROCESOS (Q94),ADMINISTRACION DE OPERACIONES (1915)
Día 4,ELECTRONICA DE POTENCIA (5609),INT. A LA MECANICA DE SUELOS (2207),LOGICA (1027) & SISTEMAS OPERATIVOS (1537) & TRANSFERENCIA DE CALOR 2 (1824)
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 (1023) & ELASTICIDAD (2366),MECANICA ESTRUCTURAL (2381),ENERGIA 1- COMBUSTION (1850)
Día 7,ELECTRONICA AVANZADA 2 (5717),,CALCULO VECTORIAL (1063) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71)
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & FISICA 2 (1152),PATOLOGIA DE LAS ESTRUCTURAS (2389),
Día 9,,,
Día 10,PROBABILIDAD Y ESTADISTICA (1025) & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & INT. A LA INVESTIGACION DE OPERACIONES (1610),REDES DE DATOS 2 (5855),SUBESTACIONES EN MEDIA TENSION (5514)
Día 11,REDES ELECTRICAS (5508),INGENIERIA BIOQUIMICA (Q81),ELECTROTECNICA I (2108)
Día 12,,TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),MECANICA NEWTONIANA (1122) & PROGRAMACION 2 (1321) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & ADMINISTRACION GENERAL PARA INGENIEROS (1944)
Día 13,FISICA 1 (1151) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & DISEÑO DE PROCESOS QUIMICOS (Q196),"FUNCIONES DE VARIABLE COMPLEJA (1066) & MEDIDAS ELECTRICAS (1461) & ELEMENTOS DE MAQUINAS (1720) & ESTRUCTURAS DE ACERO (2393) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & ANTENAS Y PROPAGACION (5817)",PROGRAMACION 1 (1322) & INT. A LA INGENIERIA DE SOFTWARE (1716) & METALURGIA DE TRANSFORMACION (1724) & MAQUINAS PARA FLUIDOS I (1856) & HORMIGON ESTRUCTURAL 1 (2382) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74)
