Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & MEDIDAS ELECTRICAS (1461) & TRANSFERENCIA DE CALOR 2 (1824),MATEMATICA DISCRETA 2 (1026) & FISICA 3 (1153) & PROGRAMACION 1 (1373) & TEORIA DE LENGUAJES (1325) & GESTION DE CALIDAD (1954) & DINAMICA Y CONTROL DE PROCESOS (Q94),
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & ADMINISTRACION DE OPERACIONES (1915) & ADMINISTRACION GENERAL PARA INGENIEROS (1944) & ELECTRONICA AVANZADA 2 (5717) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),MECANICA NEWTONIANA (1122) & DISEÑO DE PROCESOS QUIMICOS (Q196),SEÑALES Y SISTEMAS (1457) & ANTENAS Y PROPAGACION (5817)
Día 4,TECNOLOGIA DEL HORMIGON (2371) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),SISTEMAS OPERATIVOS (1537),COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & CALIDAD DE AGUAS (1854) & MAQUINAS PARA FLUIDOS I (1856)
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 (1023),LOGICA (1027) & INSTRUMENTACION INDUSTRIAL (2706),PATOLOGIA DE LAS ESTRUCTURAS (2389)
Día 7,REDES ELECTRICAS (5508),ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394),ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69)
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & FISICA 2 (1152),PROBABILIDAD Y ESTADISTICA (1025) & HORMIGON ESTRUCTURAL 1 (2382) & INGENIERIA BIOQUIMICA (Q81),
Día 9,,,
Día 10,FISICA 1 (1151),TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866),ENERGIA 1- COMBUSTION (1850)
Día 11,INT. A LA INVESTIGACION DE OPERACIONES (1650),ELECTROTECNICA I (2108),PROGRAMACION 2 (1321)
Día 12,MATERIALES Y ENSAYOS (1508) & SUBESTACIONES EN MEDIA TENSION (5514),INT. AL CONTROL INDUSTRIAL (2707) & REDES DE DATOS 2 (5855),CALCULO VECTORIAL (1063)
Día 13,"MECANICA ESTRUCTURAL (2381) & ESTRUCTURAS DE ACERO (2393) & ELECTRONICA DE POTENCIA (5609) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707)",FUNCIONES DE VARIABLE COMPLEJA (1066) & INT. A LA INGENIERIA DE SOFTWARE (1716) & ELEMENTOS DE MAQUINAS (1720) & INT. A LA MECANICA DE SUELOS (2207) & ELECTROTECNICA (5850) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & PRINCIPIOS DE QUIMICA GENERAL (1620) & INT. A LA CIENCIA DE MATERIALES (1723) & METALURGIA DE TRANSFORMACION (1724) & ELASTICIDAD (2366) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22)
