Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,CALIDAD DE AGUAS & HORMIGON ESTRUCTURAL 1 & ANTENAS Y PROPAGACION & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & ELEMENTOS DE MECANICA DE LOS FLUIDOS & GESTION DE CALIDAD & MECANICA ESTRUCTURAL,
Día 2,,,
Día 3,"FISICA 1 & SISTEMAS OPERATIVOS & REDES ELECTRICAS & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",ELECTRONICA DE POTENCIA,INT. A LA INGENIERIA DE SOFTWARE & DISEÑO DE PROCESOS QUIMICOS
Día 4,PROBABILIDAD Y ESTADISTICA & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,ESTRUCTURAS DE ACERO & ELECTRONICA AVANZADA 2,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INSTRUMENTACION INDUSTRIAL & DINAMICA Y CONTROL DE PROCESOS
Día 5,,,
Día 6,INGENIERIA BIOQUIMICA,CALCULO VECTORIAL,MEDIDAS ELECTRICAS & ADMINISTRACION GENERAL PARA INGENIEROS
Día 7,INT. A LA MECANICA DE SUELOS & REDES DE DATOS 2 & INGENIERIA DE LAS REACCIONES QUIMICAS 1,MAQUINAS PARA FLUIDOS I & ADMINISTRACION DE OPERACIONES,MECANICA NEWTONIANA & TEORIA DE LENGUAJES & COMPORTAMIENTO MECANICO DE MATERIALES 1
Día 8,SEÑALES Y SISTEMAS & INT. AL CONTROL INDUSTRIAL & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 1 & MATERIALES Y ENSAYOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,
Día 9,,,
Día 10,PATOLOGIA DE LAS ESTRUCTURAS,ELEMENTOS DE MAQUINAS,LOGICA & PROGRAMACION 1
Día 11,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & SUBESTACIONES EN MEDIA TENSION,FISICA 2,TRANSFERENCIA DE CALOR 2
Día 12,ENERGIA 1- COMBUSTION & ELECTROTECNICA I & ELECTROTECNICA,INT. A LA INVESTIGACION DE OPERACIONES & ELASTICIDAD,MATEMATICA DISCRETA 2 & FISICA 3 & PROGRAMACION 2
Día 13,TRANSFERENCIA DE CALOR Y MASA 1,MATEMATICA DISCRETA 1 & FUNCIONES DE VARIABLE COMPLEJA & TECNOLOGIA DEL HORMIGON & TERMODINAMICA APL. A LA ING.DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 2 & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & METALURGIA DE TRANSFORMACION
