Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & INSTRUMENTACION INDUSTRIAL,MECANICA NEWTONIANA & SISTEMAS OPERATIVOS & ELEMENTOS DE MECANICA DE LOS FLUIDOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,
Día 2,,,
Día 3,PROBABILIDAD Y ESTADISTICA & LOGICA & GESTION DE CALIDAD & HORMIGON ESTRUCTURAL 1,SEÑALES Y SISTEMAS & METALURGIA DE TRANSFORMACION & INT. AL CONTROL INDUSTRIAL & ELECTRONICA DE POTENCIA,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & MECANICA ESTRUCTURAL
Día 4,DINAMICA Y CONTROL DE PROCESOS,ELECTROTECNICA I,MAQUINAS PARA FLUIDOS I & ESTRUCTURAS DE ACERO
Día 5,,,
Día 6,FISICA 3 & PROGRAMACION 1 & MEDIDAS ELECTRICAS,TRANSFERENCIA DE CALOR Y MASA 1,MATEMATICA DISCRETA 2 & INT. A LA INVESTIGACION DE OPERACIONES
Día 7,DISEÑO DE PROCESOS QUIMICOS & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,CALIDAD DE AGUAS,ANTENAS Y PROPAGACION
Día 8,FISICA 2 & ENERGIA 1- COMBUSTION & TECNOLOGIA DEL HORMIGON,"GEOMETRIA Y ALGEBRA LINEAL 1 & ADMINISTRACION DE OPERACIONES & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & ELECTROTECNICA",
Día 9,,,
Día 10,TEORIA DE LENGUAJES & COMPORTAMIENTO MECANICO DE MATERIALES 1 & TRANSFERENCIA DE CALOR 2 & REDES ELECTRICAS,CALCULO VECTORIAL & ELASTICIDAD & SUBESTACIONES EN MEDIA TENSION,FISICA 1
Día 11,TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,INT. A LA INGENIERIA DE SOFTWARE & INT. A LA CIENCIA DE MATERIALES
Día 12,PROGRAMACION 2 & INT. A LA MECANICA DE SUELOS,MATERIALES Y ENSAYOS & PATOLOGIA DE LAS ESTRUCTURAS & REDES DE DATOS 2,ELECTRONICA AVANZADA 2
Día 13,FUNCIONES DE VARIABLE COMPLEJA & PRINCIPIOS DE QUIMICA GENERAL & TERMODINAMICA APL. A LA ING.DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 2 & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS & INGENIERIA BIOQUIMICA,MATEMATICA DISCRETA 1 & ELEMENTOS DE MAQUINAS & ADMINISTRACION GENERAL PARA INGENIEROS & INGENIERIA DE LAS REACCIONES QUIMICAS 1
