Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,FISICA 3 & TRANSFERENCIA DE CALOR 2 & REDES ELECTRICAS & TERMODINAMICA APL. A LA ING.DE PROCESOS,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & SEÑALES Y SISTEMAS & MATERIALES Y ENSAYOS & REDES DE DATOS 2,
Día 2,,,
Día 3,"FISICA 2 & SISTEMAS OPERATIVOS & COMPORTAMIENTO MECANICO DE MATERIALES 1 & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",FISICA 1 & PATOLOGIA DE LAS ESTRUCTURAS & ESTRUCTURAS DE ACERO,CALCULO VECTORIAL & ELEMENTOS DE MAQUINAS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 4,PROBABILIDAD Y ESTADISTICA,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & ELEMENTOS DE MECANICA DE LOS FLUIDOS,FUNCIONES DE VARIABLE COMPLEJA & GESTION DE CALIDAD
Día 5,,,
Día 6,DISEÑO DE PROCESOS QUIMICOS,DINAMICA Y CONTROL DE PROCESOS,MATEMATICA DISCRETA 1 & ELECTROTECNICA I
Día 7,ENERGIA 1- COMBUSTION & INSTRUMENTACION INDUSTRIAL & ANTENAS Y PROPAGACION,TEORIA DE LENGUAJES & INT. A LA MECANICA DE SUELOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,GEOMETRIA Y ALGEBRA LINEAL 2
Día 8,INT. AL CONTROL INDUSTRIAL,GEOMETRIA Y ALGEBRA LINEAL 1 & ADMINISTRACION DE OPERACIONES & HORMIGON ESTRUCTURAL 1,
Día 9,,,
Día 10,INT. A LA INVESTIGACION DE OPERACIONES & TECNOLOGIA DEL HORMIGON & ELECTROTECNICA,ELECTRONICA DE POTENCIA,MATEMATICA DISCRETA 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES
Día 11,MECANICA NEWTONIANA & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,ELECTRONICA AVANZADA 2,MAQUINAS PARA FLUIDOS I & INGENIERIA BIOQUIMICA
Día 12,PROGRAMACION 1 & INGENIERIA DE LAS REACCIONES QUIMICAS 1,INT. A LA INGENIERIA DE SOFTWARE,MEDIDAS ELECTRICAS & METALURGIA DE TRANSFORMACION & ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,MECANICA ESTRUCTURAL & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,CALIDAD DE AGUAS & ELASTICIDAD & SUBESTACIONES EN MEDIA TENSION & TRANSFERENCIA DE CALOR Y MASA 1,LOGICA & PROGRAMACION 2 & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES
