Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2 (1026) & MECANICA NEWTONIANA (1122) & SEÑALES Y SISTEMAS (1457) & INT. A LA INVESTIGACION DE OPERACIONES (1650) & TECNOLOGIA DEL HORMIGON (2371) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),"GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & ADMINISTRACION DE OPERACIONES (1915) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56) & INGENIERIA BIOQUIMICA (Q81)",
Día 2,,,
Día 3,PROGRAMACION 2 (1321) & SISTEMAS OPERATIVOS (1537) & TRANSFERENCIA DE CALOR 2 (1824) & ESTRUCTURAS DE ACERO (2393) & ELECTROTECNICA (5850) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764),ELASTICIDAD (2366)
Día 4,FISICA 1 (1151) & PROGRAMACION 1 (1373) & ENERGIA 1- COMBUSTION (1850),MECANICA ESTRUCTURAL (2381),CALCULO VECTORIAL (1063) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394)
Día 5,,,
Día 6,GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & ELECTROTECNICA I (2108),DISEÑO DE PROCESOS QUIMICOS (Q196),ADMINISTRACION GENERAL PARA INGENIEROS (1944)
Día 7,FISICA 3 (1153),,ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & REDES DE DATOS 2 (5855)
Día 8,FISICA 2 (1152) & ELECTRONICA AVANZADA 2 (5717),CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & SUBESTACIONES EN MEDIA TENSION (5514),
Día 9,,,
Día 10,PROBABILIDAD Y ESTADISTICA (1025) & ELEMENTOS DE MAQUINAS (1720) & CALIDAD DE AGUAS (1854),CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & DINAMICA Y CONTROL DE PROCESOS (Q94),
Día 11,ELECTRONICA DE POTENCIA (5609),,FUNCIONES DE VARIABLE COMPLEJA (1066) & HORMIGON ESTRUCTURAL 1 (2382) & INT. AL CONTROL INDUSTRIAL (2707)
Día 12,,PATOLOGIA DE LAS ESTRUCTURAS (2389),INSTRUMENTACION INDUSTRIAL (2706) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71)
Día 13,TEORIA DE LENGUAJES (1325) & INT. A LA INGENIERIA DE SOFTWARE (1716) & GESTION DE CALIDAD (1954) & REDES ELECTRICAS (5508),LOGICA (1027) & MEDIDAS ELECTRICAS (1461) & PRINCIPIOS DE QUIMICA GENERAL (1620) & INT. A LA MECANICA DE SUELOS (2207) & ANTENAS Y PROPAGACION (5817) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),MATEMATICA DISCRETA 1 (1023) & MATERIALES Y ENSAYOS (1508) & INT. A LA CIENCIA DE MATERIALES (1723) & METALURGIA DE TRANSFORMACION (1724) & MAQUINAS PARA FLUIDOS I (1856) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22)
