Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & ADMINISTRACION DE OPERACIONES (1915) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & REDES DE DATOS 2 (5855) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69)",MATEMATICA DISCRETA 2 (1026) & PROGRAMACION 1 (1322) & SEÑALES Y SISTEMAS (1457) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & MAQUINAS PARA FLUIDOS I (1856) & ELASTICIDAD (2366),
Día 2,,,
Día 3,MECANICA NEWTONIANA (1122) & TRANSFERENCIA DE CALOR 2 (1824) & CALIDAD DE AGUAS (1854) & REDES ELECTRICAS (5508) & SUBESTACIONES EN MEDIA TENSION (5514) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),MATEMATICA DISCRETA 1 (1023) & TEORIA DE LENGUAJES (1325) & INT. A LA MECANICA DE SUELOS (2207) & INGENIERIA BIOQUIMICA (Q81),LOGICA (1027)
Día 4,ELEMENTOS DE MAQUINAS (1720) & ELECTROTECNICA (5850),MATERIALES Y ENSAYOS (1508),ELECTROTECNICA I (2108) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866)
Día 5,,,
Día 6,ENERGIA 1- COMBUSTION (1850) & ELECTRONICA DE POTENCIA (5609),CALCULO VECTORIAL (1063),
Día 7,,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & FUNCIONES DE VARIABLE COMPLEJA (1066),INT. A LA INVESTIGACION DE OPERACIONES (1610) & TECNOLOGIA DEL HORMIGON (2371)
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & MECANICA ESTRUCTURAL (2381),PROBABILIDAD Y ESTADISTICA (1025) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394),
Día 9,,,
Día 10,SISTEMAS OPERATIVOS (1537) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805),PROGRAMACION 2 (1321),FISICA 2 (1152)
Día 11,DISEÑO DE PROCESOS QUIMICOS (Q196),PATOLOGIA DE LAS ESTRUCTURAS (2389),FISICA 1 (1151) & FISICA 3 (1153)
Día 12,,INSTRUMENTACION INDUSTRIAL (2706) & DINAMICA Y CONTROL DE PROCESOS (Q94),ADMINISTRACION GENERAL PARA INGENIEROS (1944)
Día 13,INT. A LA INGENIERIA DE SOFTWARE (1716) & HORMIGON ESTRUCTURAL 1 (2382) & ELECTRONICA AVANZADA 2 (5717) & ANTENAS Y PROPAGACION (5817),MEDIDAS ELECTRICAS (1461) & GESTION DE CALIDAD (1954) & ESTRUCTURAS DE ACERO (2393) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & PRINCIPIOS DE QUIMICA GENERAL (1620) & INT. A LA CIENCIA DE MATERIALES (1723) & METALURGIA DE TRANSFORMACION (1724) & INT. AL CONTROL INDUSTRIAL (2707) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22)
