Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 1 & REDES ELECTRICAS & INGENIERIA DE LAS REACCIONES QUIMICAS 1 & INGENIERIA BIOQUIMICA,GEOMETRIA Y ALGEBRA LINEAL 1 & HORMIGON ESTRUCTURAL 1 & INSTRUMENTACION INDUSTRIAL & SUBESTACIONES EN MEDIA TENSION,
Día 2,,,
Día 3,LOGICA & TEORIA DE LENGUAJES & TRANSFERENCIA DE CALOR 2 & ELECTRONICA DE POTENCIA,ELASTICIDAD,PROGRAMACION 2
Día 4,MATEMATICA DISCRETA 2 & SISTEMAS OPERATIVOS,MATERIALES Y ENSAYOS,MAQUINAS PARA FLUIDOS I
Día 5,,,
Día 6,"PROGRAMACION 1 & CALIDAD DE AGUAS & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",MEDIDAS ELECTRICAS & DISEÑO DE PROCESOS QUIMICOS,ENERGIA 1- COMBUSTION & PATOLOGIA DE LAS ESTRUCTURAS
Día 7,TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,ADMINISTRACION DE OPERACIONES & INT. A LA MECANICA DE SUELOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,FISICA 1 & FISICA 2 & METALURGIA DE TRANSFORMACION
Día 8,FISICA 3 & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & COMPORTAMIENTO MECANICO DE MATERIALES 1 & TECNOLOGIA DEL HORMIGON & INT. AL CONTROL INDUSTRIAL,
Día 9,,,
Día 10,GEOMETRIA Y ALGEBRA LINEAL 2,PROBABILIDAD Y ESTADISTICA & INT. A LA INVESTIGACION DE OPERACIONES & ELEMENTOS DE MECANICA DE LOS FLUIDOS,MECANICA ESTRUCTURAL & ELECTRONICA AVANZADA 2
Día 11,TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,ELEMENTOS DE MAQUINAS,CALCULO VECTORIAL
Día 12,GESTION DE CALIDAD & ELECTROTECNICA & DINAMICA Y CONTROL DE PROCESOS,INT. A LA INGENIERIA DE SOFTWARE & ELECTROTECNICA I & ANTENAS Y PROPAGACION,MECANICA NEWTONIANA & SEÑALES Y SISTEMAS & ADMINISTRACION GENERAL PARA INGENIEROS & TERMODINAMICA APL. A LA ING.DE PROCESOS
Día 13,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,ESTRUCTURAS DE ACERO & REDES DE DATOS 2 & TRANSFERENCIA DE CALOR Y MASA 1,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & FUNCIONES DE VARIABLE COMPLEJA & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES
