Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & GESTION DE CALIDAD (1954) & INT. A LA MECANICA DE SUELOS (2207) & ANTENAS Y PROPAGACION (5817) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56),PROBABILIDAD Y ESTADISTICA (1025) & FISICA 2 (1152) & TEORIA DE LENGUAJES (1325) & SEÑALES Y SISTEMAS (1457) & TRANSFERENCIA DE CALOR 2 (1824) & ADMINISTRACION DE OPERACIONES (1915),
Día 2,,,
Día 3,PRINCIPIOS DE QUIMICA GENERAL (1620) & COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & HORMIGON ESTRUCTURAL 1 (2382) & SUBESTACIONES EN MEDIA TENSION (5514) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),GEOMETRIA Y ALGEBRA LINEAL 2 (1031) & MAQUINAS PARA FLUIDOS I (1856),ELECTRONICA AVANZADA 2 (5717) & DISEÑO DE PROCESOS QUIMICOS (Q196)
Día 4,CALCULO VECTORIAL (1063),LOGICA (1027),CALIDAD DE AGUAS (1854) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21)
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 (1023) & MEDIDAS ELECTRICAS (1461) & SISTEMAS OPERATIVOS (1537),ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805),ENERGIA 1- COMBUSTION (1850)
Día 7,REDES ELECTRICAS (5508),,MECANICA NEWTONIANA (1122) & INGENIERIA BIOQUIMICA (Q81)
Día 8,INT. A LA INVESTIGACION DE OPERACIONES (1610),"CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69)",
Día 9,,,
Día 10,MATEMATICA DISCRETA 2 (1026) & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062) & ELECTRONICA DE POTENCIA (5609),TECNOLOGIA DEL HORMIGON (2371),ELEMENTOS DE MAQUINAS (1720)
Día 11,MATERIALES Y ENSAYOS (1508),INT. A LA CIENCIA DE MATERIALES (1723),INT. AL CONTROL INDUSTRIAL (2707)
Día 12,MECANICA ESTRUCTURAL (2381),ELECTROTECNICA (5850),PROGRAMACION 2 (1321) & ELECTROTECNICA I (2108)
Día 13,FISICA 1 (1151) & INT. A LA INGENIERIA DE SOFTWARE (1716) & PATOLOGIA DE LAS ESTRUCTURAS (2389) & INSTRUMENTACION INDUSTRIAL (2706),FUNCIONES DE VARIABLE COMPLEJA (1066) & FISICA 3 (1153) & ESTRUCTURAS DE ACERO (2393) & REDES DE DATOS 2 (5855) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74) & DINAMICA Y CONTROL DE PROCESOS (Q94),PROGRAMACION 1 (1322) & METALURGIA DE TRANSFORMACION (1724) & ADMINISTRACION GENERAL PARA INGENIEROS (1944) & ELASTICIDAD (2366) & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22)
