Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"FISICA 3 & TRANSFERENCIA DE CALOR 2 & TECNOLOGIA DEL HORMIGON & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION",CALCULO DIF. E INTEGRAL EN UNA VARIABLE & MEDIDAS ELECTRICAS & MATERIALES Y ENSAYOS & INT. A LA INGENIERIA DE SOFTWARE,
Día 2,,,
Día 3,FISICA 1 & FISICA 2 & DINAMICA Y CONTROL DE PROCESOS,ADMINISTRACION DE OPERACIONES & MECANICA ESTRUCTURAL,CALCULO VECTORIAL & TERMODINAMICA APL. A LA ING.DE PROCESOS
Día 4,INSTRUMENTACION INDUSTRIAL,PROBABILIDAD Y ESTADISTICA & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,FUNCIONES DE VARIABLE COMPLEJA & GESTION DE CALIDAD & TRANSFERENCIA DE CALOR Y MASA 1
Día 5,,,
Día 6,ELECTROTECNICA I,SUBESTACIONES EN MEDIA TENSION,MAQUINAS PARA FLUIDOS I & HORMIGON ESTRUCTURAL 1
Día 7,ELEMENTOS DE MAQUINAS & INGENIERIA BIOQUIMICA,INT. A LA MECANICA DE SUELOS & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,PATOLOGIA DE LAS ESTRUCTURAS & INGENIERIA DE LAS REACCIONES QUIMICAS 1
Día 8,GEOMETRIA Y ALGEBRA LINEAL 1 & ELECTROTECNICA,COMPORTAMIENTO MECANICO DE MATERIALES 1 & ENERGIA 1- COMBUSTION & ANTENAS Y PROPAGACION,
Día 9,,,
Día 10,MECANICA NEWTONIANA & ELEMENTOS DE MECANICA DE LOS FLUIDOS & REDES ELECTRICAS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,SISTEMAS OPERATIVOS,PROGRAMACION 1
Día 11,LOGICA & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,INT. A LA INVESTIGACION DE OPERACIONES & INT. AL CONTROL INDUSTRIAL,ELASTICIDAD
Día 12,REDES DE DATOS 2,MATEMATICA DISCRETA 2 & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS & TECNOLOGIA Y SERV. INDUSTRIALES 1,SEÑALES Y SISTEMAS & METALURGIA DE TRANSFORMACION & ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,TEORIA DE LENGUAJES & ELECTRONICA DE POTENCIA & ELECTRONICA AVANZADA 2,MATEMATICA DISCRETA 1 & CALIDAD DE AGUAS & ESTRUCTURAS DE ACERO & DISEÑO DE PROCESOS QUIMICOS,GEOMETRIA Y ALGEBRA LINEAL 2 & PROGRAMACION 2 & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES
