Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,LOGICA & MECANICA NEWTONIANA & ADMINISTRACION DE OPERACIONES & ADMINISTRACION GENERAL PARA INGENIEROS & INSTRUMENTACION INDUSTRIAL & INGENIERIA DE LAS REACCIONES QUIMICAS 1,GEOMETRIA Y ALGEBRA LINEAL 1 & METALURGIA DE TRANSFORMACION & CALIDAD DE AGUAS & GESTION DE CALIDAD & REDES DE DATOS 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,
Día 2,,,
Día 3,PROGRAMACION 1 & SEÑALES Y SISTEMAS & MECANICA ESTRUCTURAL & SUBESTACIONES EN MEDIA TENSION,TRANSFERENCIA DE CALOR 2 & TECNOLOGIA DEL HORMIGON,FISICA 3
Día 4,GEOMETRIA Y ALGEBRA LINEAL 2,DISEÑO DE PROCESOS QUIMICOS & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,INT. AL CONTROL INDUSTRIAL & INGENIERIA BIOQUIMICA
Día 5,,,
Día 6,,REDES ELECTRICAS,ELECTROTECNICA I
Día 7,,FUNCIONES DE VARIABLE COMPLEJA,"PROBABILIDAD Y ESTADISTICA & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INT. A LA INVESTIGACION DE OPERACIONES & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & INT. A LA MECANICA DE SUELOS,MEDIDAS ELECTRICAS & COMPORTAMIENTO MECANICO DE MATERIALES 1 & ELASTICIDAD & TERMODINAMICA APL. A LA ING.DE PROCESOS,
Día 9,,,
Día 10,CALCULO VECTORIAL & ENERGIA 1- COMBUSTION,FISICA 1,SISTEMAS OPERATIVOS
Día 11,PROGRAMACION 2,PATOLOGIA DE LAS ESTRUCTURAS,ELECTRONICA DE POTENCIA
Día 12,ELECTRONICA AVANZADA 2,FISICA 2 & TECNOLOGIA Y SERV. INDUSTRIALES 1,INT. A LA INGENIERIA DE SOFTWARE & ELEMENTOS DE MECANICA DE LOS FLUIDOS & HORMIGON ESTRUCTURAL 1
Día 13,MATEMATICA DISCRETA 1 & ELEMENTOS DE MAQUINAS & ANTENAS Y PROPAGACION,TEORIA DE LENGUAJES & ESTRUCTURAS DE ACERO & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & ELECTROTECNICA & TRANSFERENCIA DE CALOR Y MASA 1 & DINAMICA Y CONTROL DE PROCESOS,MATEMATICA DISCRETA 2 & MATERIALES Y ENSAYOS & PRINCIPIOS DE QUIMICA GENERAL & INT. A LA CIENCIA DE MATERIALES & MAQUINAS PARA FLUIDOS I & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
