Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,PROBABILIDAD Y ESTADISTICA (1025) & LOGICA (1027) & TEORIA DE LENGUAJES (1325) & MEDIDAS ELECTRICAS (1461),GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & MECANICA ESTRUCTURAL (2381),
Día 2,,,
Día 3,MATEMATICA DISCRETA 1 (1023),SISTEMAS OPERATIVOS (1537) & ELEMENTOS DE MAQUINAS (1720),GEOMETRIA Y ALGEBRA LINEAL 2 (1031)
Día 4,SEÑALES Y SISTEMAS (1457),TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),"ELECTROTECNICA I (2108) & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707)"
Día 5,INT. A LA MECANICA DE SUELOS (2207) & PATOLOGIA DE LAS ESTRUCTURAS (2389),MATEMATICA DISCRETA 2 (1026),MAQUINAS PARA FLUIDOS I (1856) & ADMINISTRACION DE OPERACIONES (1915) & ELECTRONICA DE POTENCIA (5609)
Día 6,ENERGIA 1- COMBUSTION (1850),PROGRAMACION 2 (1321),HORMIGON ESTRUCTURAL 1 (2382)
Día 7,COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & GESTION DE CALIDAD (1954) & DINAMICA Y CONTROL DE PROCESOS (Q94),INT. AL CONTROL INDUSTRIAL (2707) & ANTENAS Y PROPAGACION (5817),FISICA 1 (1151) & FISICA 2 (1152)
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69),FISICA 3 (1153) & TRANSFERENCIA DE CALOR 2 (1824) & TECNOLOGIA DEL HORMIGON (2371),
Día 9,,,
Día 10,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394) & INSTRUMENTACION INDUSTRIAL (2706) & SUBESTACIONES EN MEDIA TENSION (5514),REDES ELECTRICAS (5508),CALCULO VECTORIAL (1063) & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866)
Día 11,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062),FUNCIONES DE VARIABLE COMPLEJA (1066) & DISEÑO DE PROCESOS QUIMICOS (Q196),INT. A LA INVESTIGACION DE OPERACIONES (1610)
Día 12,ELASTICIDAD (2366) & REDES DE DATOS 2 (5855),ADMINISTRACION GENERAL PARA INGENIEROS (1944) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71),MECANICA NEWTONIANA (1122) & INT. A LA INGENIERIA DE SOFTWARE (1716) & METALURGIA DE TRANSFORMACION (1724) & INGENIERIA BIOQUIMICA (Q81)
Día 13,CALIDAD DE AGUAS (1854) & ESTRUCTURAS DE ACERO (2393) & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56),ELECTRONICA AVANZADA 2 (5717) & ELECTROTECNICA (5850) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74),PROGRAMACION 1 (1322) & MATERIALES Y ENSAYOS (1508) & PRINCIPIOS DE QUIMICA GENERAL (1620) & INT. A LA CIENCIA DE MATERIALES (1723)
