Día/Turno,Turno 1,Turno 2,Turno 3
1,"TECNOLOGIA DEL HORMIGON, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS","GEOMETRIA Y ALGEBRA LINEAL 1, INGENIERIA DE LAS REACCIONES QUIMICAS 1",
2,,,
3,"GEOMETRIA Y ALGEBRA LINEAL 2, TRANSFERENCIA DE CALOR 2, CALIDAD DE AGUAS","MATEMATICA DISCRETA 1, ELEMENTOS DE MAQUINAS, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES","PROGRAMACION 2, TEORIA DE LENGUAJES, SUBESTACIONES EN MEDIA TENSION, TERMODINAMICA APL. A LA ING.DE PROCESOS"
4,"PROGRAMACION 1, SISTEMAS OPERATIVOS","MATEMATICA DISCRETA 2, MAQUINAS PARA FLUIDOS I","PATOLOGIA DE LAS ESTRUCTURAS, REDES ELECTRICAS"
5,"LOGICA, TECNOLOGIA Y SERV. INDUSTRIALES 1",ADMINISTRACION DE OPERACIONES,INT. A LA MECANICA DE SUELOS
6,ENERGIA 1- COMBUSTION,ELEMENTOS DE MECANICA DE LOS FLUIDOS,INGENIERIA BIOQUIMICA
7,INSTRUMENTACION INDUSTRIAL,"HORMIGON ESTRUCTURAL 1, ELECTROTECNICA","FISICA 1, FISICA 2, COMPORTAMIENTO MECANICO DE MATERIALES 1"
8,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE, FISICA 3","ELASTICIDAD, INT. AL CONTROL INDUSTRIAL, ANTENAS Y PROPAGACION",
9,,,
10,"CALCULO VECTORIAL, ELECTRONICA DE POTENCIA, DISEÑO DE PROCESOS QUIMICOS",TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,"ELECTROTECNICA I, MECANICA ESTRUCTURAL"
11,"PROBABILIDAD Y ESTADISTICA, CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES",ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,INT. A LA INVESTIGACION DE OPERACIONES
12,"MECANICA NEWTONIANA, GESTION DE CALIDAD, DINAMICA Y CONTROL DE PROCESOS","MEDIDAS ELECTRICAS, INT. A LA INGENIERIA DE SOFTWARE, REDES DE DATOS 2","SEÑALES Y SISTEMAS, ADMINISTRACION GENERAL PARA INGENIEROS"
13,ELECTRONICA AVANZADA 2,"FUNCIONES DE VARIABLE COMPLEJA, ESTRUCTURAS DE ACERO, TRANSFERENCIA DE CALOR Y MASA 1","MATERIALES Y ENSAYOS, PRINCIPIOS DE QUIMICA GENERAL, INT. A LA CIENCIA DE MATERIALES, METALURGIA DE TRANSFORMACION"
