Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,INSTRUMENTACION INDUSTRIAL (2706) & REDES DE DATOS 2 (5855) & TRANSFERENCIA DE CALOR Y MASA 1 (Q74) & INGENIERIA BIOQUIMICA (Q81),CALCULO DIF. E INTEGRAL EN UNA VARIABLE (1061) & MAQUINAS PARA FLUIDOS I (1856) & ELECTRONICA DE POTENCIA (5609) & ELECTRONICA AVANZADA 2 (5717),
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 (1031),SEÑALES Y SISTEMAS (1457),REDES ELECTRICAS (5508)
Día 4,MATEMATICA DISCRETA 2 (1026),TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (5866),FISICA 1 (1151)
Día 5,LOGICA (1027),CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES (1062),PROBABILIDAD Y ESTADISTICA (1025)
Día 6,CALCULO VECTORIAL (1063),SISTEMAS OPERATIVOS (1537),ELECTROTECNICA I (2108) & HORMIGON ESTRUCTURAL 1 (2382)
Día 7,INT. A LA INGENIERIA DE SOFTWARE (1716) & DINAMICA Y CONTROL DE PROCESOS (Q94),ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805) & GESTION DE CALIDAD (1954) & SUBESTACIONES EN MEDIA TENSION (5514),ADMINISTRACION GENERAL PARA INGENIEROS (1944)
Día 8,MECANICA NEWTONIANA (1122) & INT. A LA MECANICA DE SUELOS (2207),GEOMETRIA Y ALGEBRA LINEAL 1 (1030) & ENERGIA 1- COMBUSTION (1850) & ADMINISTRACION DE OPERACIONES (1915),
Día 9,,,
Día 10,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS (2394),ELEMENTOS DE MAQUINAS (1720),TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (Q56)
Día 11,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION (5707)",COMPORTAMIENTO MECANICO DE MATERIALES 1 (1764) & MECANICA ESTRUCTURAL (2381) & TERMODINAMICA APL. A LA ING.DE PROCESOS (Q21),MATERIALES Y ENSAYOS (1508) & DISEÑO DE PROCESOS QUIMICOS (Q196) & TECNOLOGIA Y SERV. INDUSTRIALES 1 (Q71)
Día 12,TEORIA DE LENGUAJES (1325) & TECNOLOGIA DEL HORMIGON (2371) & INT. AL CONTROL INDUSTRIAL (2707) & ANTENAS Y PROPAGACION (5817),FISICA 3 (1153) & MEDIDAS ELECTRICAS (1461) & ELASTICIDAD (2366) & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (Q22),PROGRAMACION 1 (1322) & INT. A LA INVESTIGACION DE OPERACIONES (1610) & PRINCIPIOS DE QUIMICA GENERAL (1620) & METALURGIA DE TRANSFORMACION (1724)
Día 13,CALIDAD DE AGUAS (1854) & PATOLOGIA DE LAS ESTRUCTURAS (2389) & ESTRUCTURAS DE ACERO (2393),FUNCIONES DE VARIABLE COMPLEJA (1066) & PROGRAMACION 2 (1321) & TRANSFERENCIA DE CALOR 2 (1824) & ELECTROTECNICA (5850),MATEMATICA DISCRETA 1 (1023) & FISICA 2 (1152) & INT. A LA CIENCIA DE MATERIALES (1723) & INGENIERIA DE LAS REACCIONES QUIMICAS 1 (Q69)
