Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"LOGICA, SEÑALES Y SISTEMAS, METALURGIA DE TRANSFORMACION, ELASTICIDAD (logica, señales y sistemas, metalurgia de transformacion, elasticidad)",GEOMETRIA Y ALGEBRA LINEAL 1 (1030),
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 (1031),TEORIA DE LENGUAJES (1325),PROGRAMACION 2 (1321)
Día 4,MATEMATICA DISCRETA 2 (1026),"PROGRAMACION 1, ENERGIA 1- COMBUSTION (programacion 1, energia 1- combustion)","SISTEMAS OPERATIVOS, HORMIGON ESTRUCTURAL 1 (sistemas operativos, hormigon estructural 1)"
Día 5,"CALIDAD DE AGUAS, ADMINISTRACION DE OPERACIONES (calidad de aguas, administracion de operaciones)","CALCULO VECTORIAL, INT. AL CONTROL INDUSTRIAL (calculo vectorial, int. al control industrial)","INT. A LA MECANICA DE SUELOS, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES (int. a la mecanica de suelos, tecnologias de redes y servicios de telecomunicaciones)"
Día 6,TRANSFERENCIA DE CALOR 2 (1824),ELEMENTOS DE MECANICA DE LOS FLUIDOS (1805),"MATEMATICA DISCRETA 1, INGENIERIA DE LAS REACCIONES QUIMICAS 1 (matematica discreta 1, ingenieria de las reacciones quimicas 1)"
Día 7,"FISICA 1, INSTRUMENTACION INDUSTRIAL, INGENIERIA BIOQUIMICA (fisica 1, instrumentacion industrial, ingenieria bioquimica)","FISICA 3, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS (fisica 3, fenomenos de transporte en ing. de procesos)","MEDIDAS ELECTRICAS, MAQUINAS PARA FLUIDOS I (medidas electricas, maquinas para fluidos i)"
Día 8,"CALCULO DIF. E INTEGRAL EN UNA VARIABLE, FISICA 2, TECNOLOGIA DEL HORMIGON (calculo dif. e integral en una variable, fisica 2, tecnologia del hormigon)","PROBABILIDAD Y ESTADISTICA, COMPORTAMIENTO MECANICO DE MATERIALES 1, REDES DE DATOS 2, TECNOLOGIA Y SERV. INDUSTRIALES 1 (probabilidad y estadistica, comportamiento mecanico de materiales 1, redes de datos 2, tecnologia y serv. industriales 1)",
Día 9,,,
Día 10,"INT. A LA INVESTIGACION DE OPERACIONES, ELEMENTOS DE MAQUINAS, DISEÑO DE PROCESOS QUIMICOS (int. a la investigacion de operaciones, elementos de maquinas, diseño de procesos quimicos)","MECANICA ESTRUCTURAL, ELECTRONICA AVANZADA 2 (mecanica estructural, electronica avanzada 2)",ELECTRONICA DE POTENCIA (5609)
Día 11,PATOLOGIA DE LAS ESTRUCTURAS (2389),"ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS, TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS (energia 2:gen energ plantas vapor y gas, tratamiento biologico de efluentes y resid.solidos)",MATERIALES Y ENSAYOS (1508)
Día 12,"GESTION DE CALIDAD, ANTENAS Y PROPAGACION, ELECTROTECNICA, DINAMICA Y CONTROL DE PROCESOS (gestion de calidad, antenas y propagacion, electrotecnica, dinamica y control de procesos)","INT. A LA INGENIERIA DE SOFTWARE, ELECTROTECNICA I (int. a la ingenieria de software, electrotecnica i)","MECANICA NEWTONIANA, ADMINISTRACION GENERAL PARA INGENIEROS (mecanica newtoniana, administracion general para ingenieros)"
Día 13,"REDES ELECTRICAS, TRANSFERENCIA DE CALOR Y MASA 1 (redes electricas, transferencia de calor y masa 1)","ESTRUCTURAS DE ACERO, SUBESTACIONES EN MEDIA TENSION, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION, TERMODINAMICA APL. A LA ING.DE PROCESOS (estructuras de acero, subestaciones en media tension, imagenes medicas: adquisicion, instrumentacion y gestion, termodinamica apl. a la ing.de procesos)","CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES, FUNCIONES DE VARIABLE COMPLEJA, PRINCIPIOS DE QUIMICA GENERAL, INT. A LA CIENCIA DE MATERIALES (calculo dif. e integral en varias variables, funciones de variable compleja, principios de quimica general, int. a la ciencia de materiales)"
