Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,PROBABILIDAD Y ESTADISTICA & FISICA 2 & SEÑALES Y SISTEMAS & ADMINISTRACION GENERAL PARA INGENIEROS & ELECTROTECNICA I & DINAMICA Y CONTROL DE PROCESOS,GEOMETRIA Y ALGEBRA LINEAL 1 & MEDIDAS ELECTRICAS & GESTION DE CALIDAD & PATOLOGIA DE LAS ESTRUCTURAS & REDES DE DATOS 2,
Día 2,,,
Día 3,CALIDAD DE AGUAS & INT. AL CONTROL INDUSTRIAL & REDES ELECTRICAS & ELECTRONICA AVANZADA 2 & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES,ELEMENTOS DE MECANICA DE LOS FLUIDOS & SUBESTACIONES EN MEDIA TENSION,"IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
Día 4,MECANICA NEWTONIANA & SISTEMAS OPERATIVOS & TECNOLOGIA DEL HORMIGON,MATEMATICA DISCRETA 1,MAQUINAS PARA FLUIDOS I & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 5,,,
Día 6,INT. A LA INVESTIGACION DE OPERACIONES & HORMIGON ESTRUCTURAL 1 & TECNOLOGIA Y SERV. INDUSTRIALES 1,GEOMETRIA Y ALGEBRA LINEAL 2,FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS
Día 7,,CALCULO VECTORIAL,ESTRUCTURAS DE ACERO
Día 8,LOGICA & TRANSFERENCIA DE CALOR 2,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & COMPORTAMIENTO MECANICO DE MATERIALES 1 & INGENIERIA BIOQUIMICA,
Día 9,,,
Día 10,ELASTICIDAD & ELECTRONICA DE POTENCIA,FISICA 1,MECANICA ESTRUCTURAL
Día 11,,PROGRAMACION 2,INT. A LA CIENCIA DE MATERIALES
Día 12,,ADMINISTRACION DE OPERACIONES,FISICA 3 & PROGRAMACION 1 & INT. A LA INGENIERIA DE SOFTWARE & ENERGIA 1- COMBUSTION & INGENIERIA DE LAS REACCIONES QUIMICAS 1
Día 13,METALURGIA DE TRANSFORMACION & INT. A LA MECANICA DE SUELOS & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & DISEÑO DE PROCESOS QUIMICOS,FUNCIONES DE VARIABLE COMPLEJA & INSTRUMENTACION INDUSTRIAL & ANTENAS Y PROPAGACION & ELECTROTECNICA & TERMODINAMICA APL. A LA ING.DE PROCESOS & TRANSFERENCIA DE CALOR Y MASA 1,MATEMATICA DISCRETA 2 & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & TEORIA DE LENGUAJES & MATERIALES Y ENSAYOS & PRINCIPIOS DE QUIMICA GENERAL & ELEMENTOS DE MAQUINAS
