Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"PROBABILIDAD Y ESTADISTICA, LOGICA, TEORIA DE LENGUAJES, MEDIDAS ELECTRICAS","GEOMETRIA Y ALGEBRA LINEAL 1, MECANICA ESTRUCTURAL",
Día 2,,,
Día 3,MATEMATICA DISCRETA 1,"SISTEMAS OPERATIVOS, ELEMENTOS DE MAQUINAS",GEOMETRIA Y ALGEBRA LINEAL 2
Día 4,SEÑALES Y SISTEMAS,TERMODINAMICA APL. A LA ING.DE PROCESOS,"ELECTROTECNICA I, ELECTRONICA DE POTENCIA, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION"
Día 5,"INT. A LA MECANICA DE SUELOS, PATOLOGIA DE LAS ESTRUCTURAS, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",MATEMATICA DISCRETA 2,"MAQUINAS PARA FLUIDOS I, ADMINISTRACION DE OPERACIONES"
Día 6,ENERGIA 1- COMBUSTION,PROGRAMACION 2,HORMIGON ESTRUCTURAL 1
Día 7,"COMPORTAMIENTO MECANICO DE MATERIALES 1, GESTION DE CALIDAD, INSTRUMENTACION INDUSTRIAL, DINAMICA Y CONTROL DE PROCESOS",ANTENAS Y PROPAGACION,"FISICA 1, FISICA 2, INT. AL CONTROL INDUSTRIAL"
Día 8,"FISICA 3, ELEMENTOS DE MECANICA DE LOS FLUIDOS, INGENIERIA DE LAS REACCIONES QUIMICAS 1","CALCULO DIF. E INTEGRAL EN UNA VARIABLE, TECNOLOGIA DEL HORMIGON",
Día 9,,,
Día 10,"INT. A LA INVESTIGACION DE OPERACIONES, ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS, SUBESTACIONES EN MEDIA TENSION",REDES ELECTRICAS,"CALCULO VECTORIAL, DISEÑO DE PROCESOS QUIMICOS"
Día 11,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,FUNCIONES DE VARIABLE COMPLEJA,TRANSFERENCIA DE CALOR 2
Día 12,"ELASTICIDAD, REDES DE DATOS 2, INGENIERIA BIOQUIMICA","FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS, TECNOLOGIA Y SERV. INDUSTRIALES 1","MECANICA NEWTONIANA, METALURGIA DE TRANSFORMACION, ADMINISTRACION GENERAL PARA INGENIEROS"
Día 13,"ESTRUCTURAS DE ACERO, ELECTRONICA AVANZADA 2, TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS","INT. A LA INGENIERIA DE SOFTWARE, CALIDAD DE AGUAS, ELECTROTECNICA, TRANSFERENCIA DE CALOR Y MASA 1","PROGRAMACION 1, MATERIALES Y ENSAYOS, PRINCIPIOS DE QUIMICA GENERAL, INT. A LA CIENCIA DE MATERIALES"
