Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,"TECNOLOGIA DEL HORMIGON, IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION, FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS",GEOMETRIA Y ALGEBRA LINEAL 1,
Día 2,,,
Día 3,"MATEMATICA DISCRETA 1, TRANSFERENCIA DE CALOR 2","GEOMETRIA Y ALGEBRA LINEAL 2, PROGRAMACION 2",TEORIA DE LENGUAJES
Día 4,SISTEMAS OPERATIVOS,"MATEMATICA DISCRETA 2, MAQUINAS PARA FLUIDOS I",TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS
Día 5,"LOGICA, PATOLOGIA DE LAS ESTRUCTURAS, SUBESTACIONES EN MEDIA TENSION, TECNOLOGIA Y SERV. INDUSTRIALES 1",ADMINISTRACION DE OPERACIONES,"PROGRAMACION 1, INT. A LA MECANICA DE SUELOS"
Día 6,ENERGIA 1- COMBUSTION,ELEMENTOS DE MECANICA DE LOS FLUIDOS,"REDES DE DATOS 2, INGENIERIA DE LAS REACCIONES QUIMICAS 1"
Día 7,"CALCULO VECTORIAL, INGENIERIA BIOQUIMICA",ELECTROTECNICA,"FISICA 1, FISICA 2, HORMIGON ESTRUCTURAL 1"
Día 8,"FISICA 3, INT. AL CONTROL INDUSTRIAL","CALCULO DIF. E INTEGRAL EN UNA VARIABLE, COMPORTAMIENTO MECANICO DE MATERIALES 1, ELASTICIDAD, TERMODINAMICA APL. A LA ING.DE PROCESOS",
Día 9,,,
Día 10,ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS,"ELECTRONICA DE POTENCIA, ELECTRONICA AVANZADA 2, TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES",REDES ELECTRICAS
Día 11,"CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES, DISEÑO DE PROCESOS QUIMICOS",CALIDAD DE AGUAS,"PROBABILIDAD Y ESTADISTICA, INT. A LA INVESTIGACION DE OPERACIONES"
Día 12,"MECANICA NEWTONIANA, GESTION DE CALIDAD, INSTRUMENTACION INDUSTRIAL, DINAMICA Y CONTROL DE PROCESOS","MEDIDAS ELECTRICAS, ANTENAS Y PROPAGACION","SEÑALES Y SISTEMAS, ADMINISTRACION GENERAL PARA INGENIEROS, ELECTROTECNICA I"
Día 13,"ELEMENTOS DE MAQUINAS, MECANICA ESTRUCTURAL","FUNCIONES DE VARIABLE COMPLEJA, INT. A LA INGENIERIA DE SOFTWARE, ESTRUCTURAS DE ACERO, TRANSFERENCIA DE CALOR Y MASA 1","MATERIALES Y ENSAYOS, PRINCIPIOS DE QUIMICA GENERAL, INT. A LA CIENCIA DE MATERIALES, METALURGIA DE TRANSFORMACION"
