Día/Turno,Turno 1,Turno 2,Turno 3
Día 1,MATEMATICA DISCRETA 2 & FISICA 3 & TEORIA DE LENGUAJES & SEÑALES Y SISTEMAS & FENOMENOS DE TRANSPORTE EN ING. DE PROCESOS & INGENIERIA DE LAS REACCIONES QUIMICAS 1,GEOMETRIA Y ALGEBRA LINEAL 1 & CALIDAD DE AGUAS & GESTION DE CALIDAD & TECNOLOGIA DEL HORMIGON & TECNOLOGIAS DE REDES Y SERVICIOS DE TELECOMUNICACIONES & TRATAMIENTO BIOLOGICO DE EFLUENTES Y RESID.SOLIDOS,
Día 2,,,
Día 3,GEOMETRIA Y ALGEBRA LINEAL 2 & MATERIALES Y ENSAYOS & INT. A LA CIENCIA DE MATERIALES & INSTRUMENTACION INDUSTRIAL & INT. AL CONTROL INDUSTRIAL & ELECTROTECNICA,PRINCIPIOS DE QUIMICA GENERAL & DINAMICA Y CONTROL DE PROCESOS,ADMINISTRACION DE OPERACIONES
Día 4,ELECTRONICA DE POTENCIA,INT. A LA MECANICA DE SUELOS,LOGICA & SISTEMAS OPERATIVOS & TRANSFERENCIA DE CALOR 2
Día 5,,,
Día 6,MATEMATICA DISCRETA 1 & ELASTICIDAD,MECANICA ESTRUCTURAL,ENERGIA 1- COMBUSTION
Día 7,ELECTRONICA AVANZADA 2,,CALCULO VECTORIAL & COMPORTAMIENTO MECANICO DE MATERIALES 1 & TECNOLOGIA Y SERV. INDUSTRIALES 1
Día 8,CALCULO DIF. E INTEGRAL EN UNA VARIABLE & FISICA 2,PATOLOGIA DE LAS ESTRUCTURAS,
Día 9,,,
Día 10,PROBABILIDAD Y ESTADISTICA & CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES & INT. A LA INVESTIGACION DE OPERACIONES,REDES DE DATOS 2,SUBESTACIONES EN MEDIA TENSION
Día 11,REDES ELECTRICAS,INGENIERIA BIOQUIMICA,ELECTROTECNICA I
Día 12,,TERMODINAMICA APL. A LA ING.DE PROCESOS,MECANICA NEWTONIANA & PROGRAMACION 2 & ELEMENTOS DE MECANICA DE LOS FLUIDOS & ADMINISTRACION GENERAL PARA INGENIEROS
Día 13,FISICA 1 & ENERGIA 2:GEN ENERG PLANTAS VAPOR Y GAS & DISEÑO DE PROCESOS QUIMICOS,"FUNCIONES DE VARIABLE COMPLEJA & MEDIDAS ELECTRICAS & ELEMENTOS DE MAQUINAS & ESTRUCTURAS DE ACERO & IMAGENES MEDICAS: ADQUISICION, INSTRUMENTACION Y GESTION & ANTENAS Y PROPAGACION",PROGRAMACION 1 & INT. A LA INGENIERIA DE SOFTWARE & METALURGIA DE TRANSFORMACION & MAQUINAS PARA FLUIDOS I & HORMIGON ESTRUCTURAL 1 & TRANSFERENCIA DE CALOR Y MASA 1
