id_dia,id_turno,capacidad
1,1,2000
1,2,2000
3,1,1600
3,2,1600
3,3,1600
4,1,1600
4,2,1600
4,3,1600
6,1,1600
6,2,1600
6,3,1600
7,1,1600
7,2,1600
7,3,1600
8,1,2000
8,2,2000
10,1,1600
10,2,1600
10,3,1600
11,1,1600
11,2,1600
11,3,1600
12,1,1600
12,2,1600
12,3,1600
13,1,1600
13,2,1600
13,3,1600
